image_id,relative_path,current_split,ornament_label,file_name,extension,file_size_bytes,content_sha256,readable,image_format,source_mode,width,height,aspect_ratio,exif_orientation,dhash,ahash,filename_family,exact_duplicate_cluster_id,perceptual_review_cluster_id,candidate_object_group_id,quality_flags,read_error,source_group_id,object_group_id,object_type,motif_visibility,provenance,license,label_status,metadata_review_status,notes
img_e7ea0dea3318bfa1,dataset_dev/01_opishnyan_ceramics/o002_1.jpg,dataset_dev,01_opishnyan_ceramics,o002_1.jpg,.jpg,252103,ada14526cd04a566cbd4c6a78a497739b9d1959c848d53607c05d27c33142ff4,True,JPEG,RGB,2048,1365,1.500366,,64e0d0c0e878dce3,ffc38181c1e3ffff,01_opishnyan_ceramics/o002,,,candidate_5ccb2f82bfbc8f63,ok,,unreviewed,unreviewed,unreviewed,unreviewed,unknown,unknown,provided_folder_label,needs_manual_review,
img_ecdbd1aa48ac3c15,dataset_dev/01_opishnyan_ceramics/o002_2.jpg,dataset_dev,01_opishnyan_ceramics,o002_2.jpg,.jpg,233674,74c6b484d18015b567e6b1591e32e0e7bb263b9ca4e38db962684aa7d6abaf9f,True,JPEG,RGB,2048,1365,1.500366,,3070606061b1d9e3,ffc7c3c3c3e3f3ff,01_opishnyan_ceramics/o002,,,candidate_5ccb2f82bfbc8f63,ok,,unreviewed,unreviewed,unreviewed,unreviewed,unknown,unknown,provided_folder_label,needs_manual_review,
img_512f4e630b16091b,dataset_dev/01_opishnyan_ceramics/o003.jpg,dataset_dev,01_opishnyan_ceramics,o003.jpg,.jpg,495584,177bb5b51b6881a2992cbaaa12ce9c847960146dc6b1a011baf8cf3837e9eaa8,True,JPEG,RGB,2048,1365,1.500366,,7b8c161727170f17,ff383c7cfc7c7820,01_opishnyan_ceramics/o003,,,candidate_a26cc231da35d54f,ok,,unreviewed,unreviewed,unreviewed,unreviewed,unknown,unknown,provided_folder_label,needs_manual_review,
img_ba2c139bc922f140,dataset_dev/01_opishnyan_ceramics/o004.jpg,dataset_dev,01_opishnyan_ceramics,o004.jpg,.jpg,445232,8a3f38c29067372f5692731a72b2d40f1d9ff41c73a91da4ec40b9e22788e43a,True,JPEG,RGB,2048,1365,1.500366,,636c0e0e4f69311d,ff083c7c5c42623a,01_opishnyan_ceramics/o004,,,candidate_3b3a58767e456c56,ok,,unreviewed,unreviewed,unreviewed,unreviewed,unknown,unknown,provided_folder_label,needs_manual_review,
img_1b7aeb7b2f0f0902,dataset_dev/01_opishnyan_ceramics/o005.jpg,dataset_dev,01_opishnyan_ceramics,o005.jpg,.jpg,523889,3b55fac5a39048bf51d571acb22d5e1ce2a7a22c89c59573dac9cc58a4ef8d3d,True,JPEG,RGB,2048,1365,1.500366,,c88c061703070f07,ff3c3c3c3c3c1800,01_opishnyan_ceramics/o005,,,candidate_13a41741816eb3a8,ok,,unreviewed,unreviewed,unreviewed,unreviewed,unknown,unknown,provided_folder_label,needs_manual_review,
img_208a818a482ecd23,dataset_dev/01_opishnyan_ceramics/o007.jpg,dataset_dev,01_opishnyan_ceramics,o007.jpg,.jpg,361733,468110fd0cdd4ddf5b51f7323771c8227c30e4b005d5e82b11fbb90e65be217c,True,JPEG,RGB,2048,1365,1.500366,,4d8e160b0b160f0f,d83c3c3c3c3c1800,01_opishnyan_ceramics/o007,,,candidate_b755d1791074f436,ok,,unreviewed,unreviewed,unreviewed,unreviewed,unknown,unknown,provided_folder_label,needs_manual_review,
img_65cc319544a81be5,dataset_dev/01_opishnyan_ceramics/o009.jpg,dataset_dev,01_opishnyan_ceramics,o009.jpg,.jpg,530259,5749b0de1eda585c741c019e6a557fe7ee41a1ffce02833f52ea9d3b518b51aa,True,JPEG,RGB,2048,1365,1.500366,,41901a0d0c28320c,ff1730383b33271f,01_opishnyan_ceramics/o009,,,candidate_fc2446ae9a58fb86,ok,,unreviewed,unreviewed,unreviewed,unreviewed,unknown,unknown,provided_folder_label,needs_manual_review,
img_ffa5e6b1a7bd8d18,dataset_dev/01_opishnyan_ceramics/o011.jpg,dataset_dev,01_opishnyan_ceramics,o011.jpg,.jpg,498125,ba71d59a81ebc5f7257b722b97c6feaa3ffa879c701727b9b4d3592442ce5ffc,True,JPEG,RGB,2048,1365,1.500366,,498c0e17170e160c,ff1f3c3c3c3c3c18,01_opishnyan_ceramics/o011,,,candidate_f9804079448d2da9,ok,,unreviewed,unreviewed,unreviewed,unreviewed,unknown,unknown,provided_folder_label,needs_manual_review,
img_a0d4a5f4a1bf8699,dataset_dev/01_opishnyan_ceramics/o013.jpg,dataset_dev,01_opishnyan_ceramics,o013.jpg,.jpg,201384,ae80019df9d22e811a58f358dc27d66ba27a7e1c4cd39e305a56f1542be4d391,True,JPEG,RGB,1365,2048,0.666504,,f030604c68d47210,e7e7c3c3c383e703,01_opishnyan_ceramics/o013,,,candidate_9d84b648c22b6f8a,ok,,unreviewed,unreviewed,unreviewed,unreviewed,unknown,unknown,provided_folder_label,needs_manual_review,
img_50199870352d207d,dataset_dev/01_opishnyan_ceramics/o015.jpg,dataset_dev,01_opishnyan_ceramics,o015.jpg,.jpg,283148,977754ee4153816edd78623a827239d6ef7977f87ff0714cd72947ce1ebdeb55,True,JPEG,RGB,2048,1365,1.500366,,1771696969693317,ffc7c3c3c343677f,01_opishnyan_ceramics/o015,,,candidate_1f193286c21fc6e4,ok,,unreviewed,unreviewed,unreviewed,unreviewed,unknown,unknown,provided_folder_label,needs_manual_review,
