true_class,predicted_class,error_count,fraction_of_true_class
05_kosiv_ceramics,02_ornek,76,0.2714285714285714
03_bubnivka_ceramics,02_ornek,68,0.3192488262910798
02_ornek,04_petrykivka_painting,57,0.12984054669703873
02_ornek,05_kosiv_ceramics,52,0.11845102505694761
01_opishnyan_ceramics,02_ornek,51,0.10179640718562874
05_kosiv_ceramics,01_opishnyan_ceramics,40,0.14285714285714285
04_petrykivka_painting,02_ornek,36,0.13846153846153847
03_bubnivka_ceramics,04_petrykivka_painting,30,0.14084507042253522
05_kosiv_ceramics,04_petrykivka_painting,28,0.1
01_opishnyan_ceramics,05_kosiv_ceramics,26,0.05189620758483034
04_petrykivka_painting,05_kosiv_ceramics,24,0.09230769230769231
03_bubnivka_ceramics,05_kosiv_ceramics,21,0.09859154929577464
02_ornek,01_opishnyan_ceramics,20,0.04555808656036447
03_bubnivka_ceramics,01_opishnyan_ceramics,20,0.09389671361502347
02_ornek,03_bubnivka_ceramics,19,0.04328018223234624
05_kosiv_ceramics,03_bubnivka_ceramics,17,0.060714285714285714
01_opishnyan_ceramics,03_bubnivka_ceramics,14,0.027944111776447105
01_opishnyan_ceramics,04_petrykivka_painting,11,0.021956087824351298
04_petrykivka_painting,03_bubnivka_ceramics,7,0.026923076923076925
04_petrykivka_painting,01_opishnyan_ceramics,4,0.015384615384615385
