dimension,value,image_count,correct_count,error_count,accuracy,mean_confidence
old_split,dataset_dev,1149,734,415,0.63881636205396,0.711025866270207
old_split,dataset_test,544,338,206,0.6213235294117647,0.6817712411845265
review_cohort,manually_reviewed,348,277,71,0.7959770114942529,0.8363701227341005
review_cohort,singleton,1345,795,550,0.5910780669144982,0.6667624333363446
motif_visibility,clear,329,267,62,0.8115501519756839,0.8421255934868838
motif_visibility,partial,12,6,6,0.5,0.7347984190303408
motif_visibility,small,7,4,3,0.5714285714285714,0.7399859179883
motif_visibility,unreviewed,1345,795,550,0.5910780669144982,0.6667624333363446
object_type,box_or_container,38,35,3,0.9210526315789473,0.926180679029764
object_type,cup_or_mug,54,52,2,0.9629629629629629,0.9342013173422171
object_type,figurine_or_sculpture,115,94,21,0.8173913043478261,0.8318894686835944
object_type,mixed_display_or_collection,29,7,22,0.2413793103448276,0.6131400226651845
object_type,other,14,14,0,1.0,1.0
object_type,plate_or_bowl,38,24,14,0.631578947368421,0.6935402064441809
object_type,unreviewed,1345,795,550,0.5910780669144982,0.6667624333363446
object_type,vase_jug_or_vessel,53,50,3,0.9433962264150944,0.903060698028509
source_cohort,src_global_bub_blue_fair_table,10,1,9,0.1,0.6587434378275672
source_cohort,src_global_bub_dark_cloth_closeups,13,2,11,0.15384615384615385,0.5275783291610662
source_cohort,src_global_bub_fair_vendor_a,23,10,13,0.43478260869565216,0.5934963383529623
source_cohort,src_global_bub_leaf_stump,7,5,2,0.7142857142857143,0.5754344534579579
source_cohort,src_global_bub_mesh_plate_pairs,10,3,7,0.3,0.639656584041932
source_cohort,src_global_bub_museum_interior,30,13,17,0.43333333333333335,0.5634011321706687
source_cohort,src_global_bub_vognik_watermark,33,14,19,0.42424242424242425,0.5754222297290397
source_cohort,src_global_kos_huclia_watermark,6,1,5,0.16666666666666666,0.6403613567995977
source_cohort,src_global_kos_museum_emblem,5,0,5,0.0,0.8041467599089209
source_cohort,src_global_kos_shop_camera_series,23,5,18,0.21739130434782608,0.5395938977445216
source_cohort,src_global_kos_textile_archive,26,8,18,0.3076923076923077,0.5449617913395113
source_cohort,src_global_opn_gray_catalog_b,104,88,16,0.8461538461538461,0.8030393391730951
source_cohort,src_global_opn_museum_display_logo,31,10,21,0.3225806451612903,0.5928075362920586
source_cohort,src_global_opn_roundmark_catalog,261,260,1,0.9961685823754789,0.9800466181358407
source_cohort,src_global_opn_shelf_figurines,38,16,22,0.42105263157894735,0.558356876035979
source_cohort,src_global_opn_shop_cubbies,42,19,23,0.4523809523809524,0.6105186308607663
source_cohort,src_global_pet_gold_x_watermark,18,7,11,0.3888888888888889,0.5950887446071023
source_cohort,unassigned,1013,610,403,0.6021717670286278,0.6562107906853982
cv_fold,0,500,391,109,0.782,0.8207361143686178
cv_fold,1,244,150,94,0.6147540983606558,0.6459041890568987
cv_fold,2,270,150,120,0.5555555555555556,0.6509393995349348
cv_fold,3,342,216,126,0.631578947368421,0.6857967534986583
cv_fold,4,337,165,172,0.4896142433234421,0.6219212719990641
