true_class,predicted_class,error_count,fraction_of_true_class
01_opishnyan_ceramics,03_bubnivka_ceramics,58,0.1157684630738523
01_opishnyan_ceramics,05_kosiv_ceramics,17,0.033932135728542916
03_bubnivka_ceramics,01_opishnyan_ceramics,11,0.051643192488262914
01_opishnyan_ceramics,02_ornek,8,0.015968063872255488
04_petrykivka_painting,02_ornek,4,0.015384615384615385
03_bubnivka_ceramics,02_ornek,3,0.014084507042253521
02_ornek,01_opishnyan_ceramics,2,0.004555808656036446
02_ornek,03_bubnivka_ceramics,2,0.004555808656036446
02_ornek,05_kosiv_ceramics,2,0.004555808656036446
04_petrykivka_painting,05_kosiv_ceramics,2,0.007692307692307693
05_kosiv_ceramics,02_ornek,2,0.007142857142857143
05_kosiv_ceramics,03_bubnivka_ceramics,2,0.007142857142857143
03_bubnivka_ceramics,05_kosiv_ceramics,1,0.004694835680751174
04_petrykivka_painting,01_opishnyan_ceramics,1,0.0038461538461538464
05_kosiv_ceramics,01_opishnyan_ceramics,1,0.0035714285714285713
05_kosiv_ceramics,04_petrykivka_painting,1,0.0035714285714285713
