representation,metric_status,c_value,cv_fold,train_examples,validation_examples,iterations,max_iterations,converged,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,top_3_accuracy
clip_vit_b32__model_pool__center_crop,exploratory_candidate_cv,10.0,0,1193,500,60,3000,True,0.96,0.9373059333965509,0.9534087257446545,0.9373059333965509,0.9435144040405732,0.998
clip_vit_b32__model_pool__center_crop,exploratory_candidate_cv,10.0,1,1449,244,71,3000,True,0.9467213114754098,0.8908291708291708,0.8813773381059772,0.8908291708291708,0.8855499026668101,0.9918032786885246
clip_vit_b32__model_pool__center_crop,exploratory_candidate_cv,10.0,2,1423,270,75,3000,True,0.9222222222222223,0.9114396668597718,0.9283997469955724,0.9114396668597718,0.9159561638831815,0.9962962962962963
clip_vit_b32__model_pool__center_crop,exploratory_candidate_cv,10.0,3,1351,342,57,3000,True,0.8508771929824561,0.8549367299367299,0.8394975030623861,0.8549367299367299,0.8443112284337856,0.9970760233918129
clip_vit_b32__model_pool__center_crop,exploratory_candidate_cv,10.0,4,1356,337,66,3000,True,0.7418397626112759,0.8127011494252873,0.7905097394252844,0.8127011494252873,0.7293013699807837,0.9258160237388724
convnext_tiny_in22k__model_pool__center_crop,exploratory_candidate_cv,10.0,0,1193,500,42,3000,True,0.964,0.9537807510141111,0.9622335151127448,0.9537807510141111,0.9567980963587688,1.0
convnext_tiny_in22k__model_pool__center_crop,exploratory_candidate_cv,10.0,1,1449,244,41,3000,True,0.9508196721311475,0.8514227632832284,0.8465990534144693,0.8514227632832284,0.8487771855803613,0.9959016393442623
convnext_tiny_in22k__model_pool__center_crop,exploratory_candidate_cv,10.0,2,1423,270,47,3000,True,0.9222222222222223,0.9098742967460145,0.9044163630880677,0.9098742967460145,0.9064404980690524,1.0
convnext_tiny_in22k__model_pool__center_crop,exploratory_candidate_cv,10.0,3,1351,342,46,3000,True,0.8567251461988304,0.8833832833832835,0.8536745852187029,0.8833832833832835,0.8557764775186827,0.9912280701754386
convnext_tiny_in22k__model_pool__center_crop,exploratory_candidate_cv,10.0,4,1356,337,42,3000,True,0.798219584569733,0.8392673992673993,0.8168148193207129,0.8392673992673993,0.7973914363023418,0.9881305637982196
dinov2_small_reg4__model_pool__center_crop,exploratory_candidate_cv,10.0,0,1193,500,52,3000,True,0.964,0.949773130727421,0.9691621318603187,0.949773130727421,0.9573412279040626,0.998
dinov2_small_reg4__model_pool__center_crop,exploratory_candidate_cv,10.0,1,1449,244,51,3000,True,0.9795081967213115,0.9108033826638477,0.9361534349104517,0.9108033826638477,0.9217448271842397,0.9959016393442623
dinov2_small_reg4__model_pool__center_crop,exploratory_candidate_cv,10.0,2,1423,270,51,3000,True,0.9185185185185185,0.9041991579313409,0.90575473255558,0.9041991579313409,0.9046193716923756,0.9962962962962963
dinov2_small_reg4__model_pool__center_crop,exploratory_candidate_cv,10.0,3,1351,342,46,3000,True,0.7894736842105263,0.8221195471195472,0.8011814574314574,0.8221195471195472,0.7932224092685523,0.9883040935672515
dinov2_small_reg4__model_pool__center_crop,exploratory_candidate_cv,10.0,4,1356,337,50,3000,True,0.8724035608308606,0.9065671340154099,0.8824554528002804,0.9065671340154099,0.8751973699974707,0.9821958456973294
dinov3_vits16__cls__center_crop,exploratory_candidate_cv,10.0,0,1193,500,40,3000,True,0.972,0.9453432315701763,0.970714334191378,0.9453432315701763,0.9558675979581759,1.0
dinov3_vits16__cls__center_crop,exploratory_candidate_cv,10.0,1,1449,244,50,3000,True,0.9754098360655737,0.9473376623376624,0.9410321519912312,0.9473376623376624,0.9439066515740542,0.9918032786885246
dinov3_vits16__cls__center_crop,exploratory_candidate_cv,10.0,2,1423,270,48,3000,True,0.9666666666666667,0.9650844092141917,0.9624633431085045,0.9650844092141917,0.9627118160919892,1.0
dinov3_vits16__cls__center_crop,exploratory_candidate_cv,10.0,3,1351,342,38,3000,True,0.8538011695906432,0.8700715950715951,0.8474647887952482,0.8700715950715951,0.8504479648195856,0.9912280701754386
dinov3_vits16__cls__center_crop,exploratory_candidate_cv,10.0,4,1356,337,41,3000,True,0.8545994065281899,0.8964374131615511,0.8658562091503269,0.8964374131615511,0.8543781360805995,0.9910979228486647
dinov3_vits16__cls__global_fivecrop,exploratory_candidate_cv,10.0,0,1193,500,45,3000,True,0.974,0.956959143947917,0.972048807048807,0.956959143947917,0.9631040315666797,0.998
