dimension,value,image_count,correct_count,error_count,accuracy,mean_uncalibrated_max_probability
old_split,dataset_dev,1149,1078,71,0.938207136640557,0.8921383557827062
old_split,dataset_test,544,498,46,0.9154411764705882,0.8835977659262861
review_cohort,manually_reviewed,348,307,41,0.882183908045977,0.845641078397439
review_cohort,singleton,1345,1269,76,0.9434944237918216,0.900714542881725
motif_visibility,clear,329,291,38,0.8844984802431611,0.8482657723532288
motif_visibility,partial,12,10,2,0.8333333333333334,0.789240623232604
motif_visibility,small,7,6,1,0.8571428571428571,0.8189669570436021
motif_visibility,unreviewed,1345,1269,76,0.9434944237918216,0.900714542881725
object_type,box_or_container,38,35,3,0.9210526315789473,0.8619982872830737
object_type,cup_or_mug,54,51,3,0.9444444444444444,0.9150476753834758
object_type,figurine_or_sculpture,115,104,11,0.9043478260869565,0.8574921378397048
object_type,mixed_display_or_collection,29,15,14,0.5172413793103449,0.6375038159160208
object_type,other,14,11,3,0.7857142857142857,0.7914072390966703
object_type,plate_or_bowl,38,33,5,0.868421052631579,0.8041840055042837
object_type,unreviewed,1345,1269,76,0.9434944237918216,0.900714542881725
object_type,vase_jug_or_vessel,53,51,2,0.9622641509433962,0.8801749248795614
global_source_cohort,src_global_bub_blue_fair_table,10,10,0,1.0,0.9132417788259174
global_source_cohort,src_global_bub_dark_cloth_closeups,13,13,0,1.0,0.986580419452377
global_source_cohort,src_global_bub_fair_vendor_a,23,23,0,1.0,0.9654328549085102
global_source_cohort,src_global_bub_leaf_stump,7,7,0,1.0,0.9922025671176318
global_source_cohort,src_global_bub_mesh_plate_pairs,10,10,0,1.0,0.8359980109256148
global_source_cohort,src_global_bub_museum_interior,30,24,6,0.8,0.7916828593782436
global_source_cohort,src_global_bub_vognik_watermark,33,33,0,1.0,0.9115485022279416
global_source_cohort,src_global_kos_huclia_watermark,6,6,0,1.0,0.7641649442661773
global_source_cohort,src_global_kos_museum_emblem,5,5,0,1.0,0.9332303673304112
global_source_cohort,src_global_kos_shop_camera_series,23,22,1,0.9565217391304348,0.9005283152310478
global_source_cohort,src_global_kos_textile_archive,26,26,0,1.0,0.8877005109531209
global_source_cohort,src_global_opn_gray_catalog_b,104,73,31,0.7019230769230769,0.7494185390586637
global_source_cohort,src_global_opn_museum_display_logo,31,30,1,0.967741935483871,0.8751863374548152
global_source_cohort,src_global_opn_roundmark_catalog,261,257,4,0.9846743295019157,0.9232149898090045
global_source_cohort,src_global_opn_shelf_figurines,38,25,13,0.6578947368421053,0.6272271951690493
global_source_cohort,src_global_opn_shop_cubbies,42,21,21,0.5,0.6004375121096318
global_source_cohort,src_global_pet_gold_x_watermark,18,16,2,0.8888888888888888,0.8129955415411716
global_source_cohort,unassigned,1013,975,38,0.9624876604146101,0.9177536036986969
cv_fold,0,500,487,13,0.974,0.9153958296140282
cv_fold,1,244,237,7,0.9713114754098361,0.9320296908302509
cv_fold,2,270,264,6,0.9777777777777777,0.9184180885461211
cv_fold,3,342,299,43,0.8742690058479532,0.8489025567834837
cv_fold,4,337,289,48,0.857566765578635,0.837784681784064
