representation,metric_status,c_value,diagnostic_only,train_examples,validation_examples,iterations,max_iterations,converged,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,top_3_accuracy
clip_vit_b32__model_pool__center_crop,diagnostic_production_holdout,0.01,True,1369,324,8,3000,True,0.7160493827160493,0.7074526198439242,0.6971494978470417,0.7074526198439242,0.6807995252979071,0.9753086419753086
clip_vit_b32__model_pool__center_crop,diagnostic_production_holdout,0.1,True,1369,324,21,3000,True,0.7716049382716049,0.7781817168338907,0.7645423164257171,0.7781817168338907,0.7639190842540342,0.9845679012345679
clip_vit_b32__model_pool__center_crop,diagnostic_production_holdout,1.0,True,1369,324,34,3000,True,0.8240740740740741,0.8443935340022296,0.824041498119367,0.8443935340022296,0.8247371053894523,0.9876543209876543
clip_vit_b32__model_pool__center_crop,diagnostic_production_holdout,10.0,True,1369,324,58,3000,True,0.8703703703703703,0.8941036789297658,0.8681362444021878,0.8941036789297658,0.8718495468337398,0.9876543209876543
convnext_tiny_in22k__model_pool__center_crop,diagnostic_production_holdout,0.01,True,1369,324,7,3000,True,0.6327160493827161,0.6499253065774805,0.6683929435283369,0.6499253065774805,0.6268369233762491,0.9444444444444444
convnext_tiny_in22k__model_pool__center_crop,diagnostic_production_holdout,0.1,True,1369,324,17,3000,True,0.7129629629629629,0.742577480490524,0.7428127266965925,0.742577480490524,0.7190812574622816,0.9598765432098766
convnext_tiny_in22k__model_pool__center_crop,diagnostic_production_holdout,1.0,True,1369,324,36,3000,True,0.7962962962962963,0.8370234113712375,0.8148502089360334,0.8370234113712375,0.8022768087918294,0.9845679012345679
convnext_tiny_in22k__model_pool__center_crop,diagnostic_production_holdout,10.0,True,1369,324,40,3000,True,0.8487654320987654,0.8774771460423635,0.8522053872053872,0.8774771460423635,0.8520940766343065,1.0
dinov2_small_reg4__model_pool__center_crop,diagnostic_production_holdout,0.01,True,1369,324,7,3000,True,0.6882716049382716,0.7028662207357859,0.6979610054212187,0.7028662207357859,0.6732182923336832,0.9629629629629629
dinov2_small_reg4__model_pool__center_crop,diagnostic_production_holdout,0.1,True,1369,324,19,3000,True,0.7469135802469136,0.7779175027870681,0.7559686691648717,0.7779175027870681,0.7489428139501633,0.9783950617283951
dinov2_small_reg4__model_pool__center_crop,diagnostic_production_holdout,1.0,True,1369,324,32,3000,True,0.7932098765432098,0.8463745819397994,0.822246342981637,0.8463745819397994,0.8045477905568701,0.9938271604938271
dinov2_small_reg4__model_pool__center_crop,diagnostic_production_holdout,10.0,True,1369,324,42,3000,True,0.7993827160493827,0.8545685618729097,0.8395391043907727,0.8545685618729097,0.8128613671891015,0.9938271604938271
