accuracy_rank,selected,within_half_point_of_best,representation,metric_status,c_value,fold_count,aggregate_accuracy,aggregate_macro_f1,aggregate_balanced_accuracy,aggregate_top_3_accuracy,worst_class_recall,all_folds_converged,max_fold_iterations,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_macro_precision,std_macro_precision,mean_macro_recall,std_macro_recall,mean_macro_f1,std_macro_f1,mean_top_3_accuracy,std_top_3_accuracy
1,True,True,dinov3_vits16__cls__global_fivecrop,exploratory_selection_conditional,10.0,5,0.9308919078558772,0.9284474338634805,0.9403779455588648,0.9952746603662138,0.8343313373253493,True,50,0.9309850049228405,0.05973487263388531,0.9256895925412106,0.03752738607951936,0.9216260003197807,0.05184321299371594,0.9256895925412106,0.03752738607951936,0.916029493652391,0.05211235536515743,0.9952368499852214,0.004539841470721061
2,False,False,dinov3_vits16__cls_patch_concat__global_fivecrop,exploratory_selection_conditional,10.0,5,0.926166568222091,0.9237843655229832,0.9369276607101116,0.9923213230950975,0.8223552894211577,True,56,0.9255874031042485,0.07750907226462869,0.9213650504166685,0.04591622627373773,0.9193759366383498,0.060503617632471224,0.9213650504166685,0.04591622627373773,0.9091690043876861,0.07065974213567809,0.9920432906137178,0.009385796966463368
3,False,False,dinov3_vits16__cls__center_crop,exploratory_selection_conditional,10.0,5,0.9243945658594211,0.9207396621966298,0.9323787041460347,0.9952746603662138,0.8323353293413174,True,50,0.9244954157702147,0.06424660821764798,0.9248548622710352,0.03985104704258381,0.9175061654473378,0.05696323708326807,0.9248548622710352,0.03985104704258381,0.9134624333048809,0.056152309696878754,0.9948258543425256,0.004730778326278459
4,False,False,dinov3_vits16__cls__letterbox,exploratory_selection_conditional,10.0,5,0.9238038984051978,0.9216677175061923,0.9326527111614975,0.9964559952746603,0.8383233532934131,True,51,0.9235330412154064,0.06696545881872576,0.909727522943696,0.04380512867478978,0.9067671409374694,0.05849976894130328,0.909727522943696,0.04380512867478978,0.8995389321120719,0.06167788424510832,0.996415117116948,0.003329273586386867
5,False,False,dinov3_vits16__cls_patch_concat__letterbox,exploratory_selection_conditional,10.0,5,0.9220318960425281,0.9201494863554283,0.9307470386786673,0.9917306556408741,0.8323353293413174,True,58,0.92241759728406,0.08531051399491008,0.9074285357685259,0.05468315425998689,0.9138935268649115,0.0684481914657682,0.9074285357685259,0.05468315425998689,0.8985400026310316,0.08026864702447044,0.9910214701840298,0.01262111984859335
6,False,False,dinov3_vits16__cls_patch_concat__center_crop,exploratory_selection_conditional,10.0,5,0.9232132309509746,0.920298695951616,0.9325130500666976,0.9940933254577673,0.8283433133732535,True,53,0.9223112050258016,0.06786421652851272,0.917055700424239,0.039413906074893965,0.9152445209081959,0.05689059106851398,0.917055700424239,0.039413906074893965,0.9072334663936916,0.05852770310201545,0.993647587210799,0.005981183872523166
7,False,False,dinov2_small_reg4__model_pool__center_crop,exploratory_selection_conditional,10.0,5,0.9054932073242764,0.9036020529165307,0.916556916367742,0.9923213230950975,0.7864271457085829,True,52,0.9047807920562434,0.07685024226926801,0.8986924704915132,0.04666812233657409,0.8989414419116176,0.06362173577433324,0.8986924704915132,0.04666812233657409,0.8904250412093402,0.06192821989991956,0.992139574981028,0.006696355566870437
8,False,False,convnext_tiny_in22k__model_pool__center_crop,exploratory_selection_conditional,10.0,5,0.9007678676904902,0.9001358843273148,0.9132333082091604,0.9952746603662138,0.782435129740519,True,47,0.8983973250243865,0.06962684348958778,0.8875456987388073,0.04620236683940134,0.8767476672309394,0.05724211562681326,0.8875456987388073,0.04620236683940134,0.8730367387658415,0.06070508727707826,0.9950520546635842,0.005296603000954113
9,False,False,dinov3_vits16__patch_mean__global_fivecrop,exploratory_selection_conditional,10.0,5,0.900177200236267,0.8990787934496168,0.910592006702645,0.9716479621972829,0.7984031936127745,True,74,0.8982195704597714,0.0850185495564946,0.8826873626171192,0.04062198955589,0.8832569138020616,0.06126808848248226,0.8826873626171192,0.04062198955589,0.8700007690507869,0.07174515834947993,0.9711245083299505,0.05357830655568575
10,False,False,dinov3_vits16__patch_mean__center_crop,exploratory_selection_conditional,10.0,5,0.896042528056704,0.894566963844935,0.9076176257870952,0.9746012994683992,0.780439121756487,True,66,0.8941780459429072,0.09326376781041185,0.8910388255577795,0.05092043272067476,0.8841638222735376,0.07134565985899027,0.8910388255577795,0.05092043272067476,0.8733929845524113,0.0817390061342347,0.9739879808920018,0.03749559547487353
