true_class,predicted_class,error_count,fraction_of_true_class
01_opishnyan_ceramics,03_bubnivka_ceramics,61,0.1217564870259481
01_opishnyan_ceramics,05_kosiv_ceramics,18,0.03592814371257485
03_bubnivka_ceramics,01_opishnyan_ceramics,14,0.06572769953051644
01_opishnyan_ceramics,02_ornek,5,0.00998003992015968
02_ornek,05_kosiv_ceramics,4,0.009111617312072893
04_petrykivka_painting,02_ornek,4,0.015384615384615385
03_bubnivka_ceramics,02_ornek,3,0.014084507042253521
03_bubnivka_ceramics,05_kosiv_ceramics,3,0.014084507042253521
04_petrykivka_painting,05_kosiv_ceramics,3,0.011538461538461539
02_ornek,01_opishnyan_ceramics,2,0.004555808656036446
02_ornek,03_bubnivka_ceramics,2,0.004555808656036446
04_petrykivka_painting,01_opishnyan_ceramics,2,0.007692307692307693
05_kosiv_ceramics,02_ornek,2,0.007142857142857143
05_kosiv_ceramics,03_bubnivka_ceramics,2,0.007142857142857143
02_ornek,04_petrykivka_painting,1,0.002277904328018223
05_kosiv_ceramics,01_opishnyan_ceramics,1,0.0035714285714285713
05_kosiv_ceramics,04_petrykivka_painting,1,0.0035714285714285713
