representation,metric_status,c_value,cv_fold,train_examples,validation_examples,iterations,max_iterations,converged,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,top_3_accuracy
dinov3_vits16__cls__center_crop,exploratory_candidate_cv,10.0,0,1193,500,40,3000,True,0.972,0.9453432315701763,0.970714334191378,0.9453432315701763,0.9558675979581759,1.0
dinov3_vits16__cls__center_crop,exploratory_candidate_cv,10.0,1,1449,244,50,3000,True,0.9754098360655737,0.9473376623376624,0.9410321519912312,0.9473376623376624,0.9439066515740542,0.9918032786885246
dinov3_vits16__cls__center_crop,exploratory_candidate_cv,10.0,2,1423,270,48,3000,True,0.9666666666666667,0.9650844092141917,0.9624633431085045,0.9650844092141917,0.9627118160919892,1.0
dinov3_vits16__cls__center_crop,exploratory_candidate_cv,10.0,3,1351,342,38,3000,True,0.8538011695906432,0.8700715950715951,0.8474647887952482,0.8700715950715951,0.8504479648195856,0.9912280701754386
dinov3_vits16__cls__center_crop,exploratory_candidate_cv,10.0,4,1356,337,41,3000,True,0.8545994065281899,0.8964374131615511,0.8658562091503269,0.8964374131615511,0.8543781360805995,0.9910979228486647
dinov3_vits16__cls_patch_concat__center_crop,exploratory_candidate_cv,10.0,0,1193,500,52,3000,True,0.978,0.9554118406764758,0.9758510955307294,0.9554118406764758,0.9644194905100683,1.0
dinov3_vits16__cls_patch_concat__center_crop,exploratory_candidate_cv,10.0,1,1449,244,47,3000,True,0.9713114754098361,0.9073376623376623,0.9287339303770041,0.9073376623376623,0.916123780004059,0.9918032786885246
dinov3_vits16__cls_patch_concat__center_crop,exploratory_candidate_cv,10.0,2,1423,270,53,3000,True,0.9629629629629629,0.961512980642763,0.9598204692752921,0.961512980642763,0.9597860025946613,1.0
dinov3_vits16__cls_patch_concat__center_crop,exploratory_candidate_cv,10.0,3,1351,342,50,3000,True,0.868421052631579,0.8808774558774559,0.8614990557150923,0.8808774558774559,0.8645700829314645,0.9883040935672515
dinov3_vits16__cls_patch_concat__center_crop,exploratory_candidate_cv,10.0,4,1356,337,41,3000,True,0.8308605341246291,0.8801385625868384,0.8503180536428617,0.8801385625868384,0.8312679759282051,0.9881305637982196
dinov3_vits16__patch_mean__center_crop,exploratory_candidate_cv,10.0,0,1193,500,62,3000,True,0.972,0.9386532072578584,0.9729483282674772,0.9386532072578584,0.9524221445765031,0.998
dinov3_vits16__patch_mean__center_crop,exploratory_candidate_cv,10.0,1,1449,244,66,3000,True,0.9631147540983607,0.8999200799200799,0.8793170911775563,0.8999200799200799,0.8885642981056439,0.9918032786885246
dinov3_vits16__patch_mean__center_crop,exploratory_candidate_cv,10.0,2,1423,270,62,3000,True,0.937037037037037,0.9370352078529123,0.9336114911080712,0.9370352078529123,0.9344257063068945,0.9925925925925926
dinov3_vits16__patch_mean__center_crop,exploratory_candidate_cv,10.0,3,1351,342,55,3000,True,0.8450292397660819,0.857925407925408,0.8410690151766922,0.857925407925408,0.8430818729054884,0.97953216374269
dinov3_vits16__patch_mean__center_crop,exploratory_candidate_cv,10.0,4,1356,337,65,3000,True,0.7537091988130564,0.8216602248326387,0.7938731856378916,0.8216602248326387,0.7484709008675262,0.9080118694362018
