dimension,value,image_count,correct_count,error_count,accuracy,mean_uncalibrated_max_probability
old_split,dataset_dev,1149,1076,73,0.9364664926022629,0.887533287113234
old_split,dataset_test,544,489,55,0.8988970588235294,0.8792227430273412
review_cohort,manually_reviewed,348,309,39,0.8879310344827587,0.8477899587617711
review_cohort,singleton,1345,1256,89,0.9338289962825279,0.8944550285880172
motif_visibility,clear,329,292,37,0.8875379939209727,0.8483381406789283
motif_visibility,partial,12,11,1,0.9166666666666666,0.8323985315850114
motif_visibility,small,7,6,1,0.8571428571428571,0.848410712386973
motif_visibility,unreviewed,1345,1256,89,0.9338289962825279,0.8944550285880172
object_type,box_or_container,38,35,3,0.9210526315789473,0.862438380792238
object_type,cup_or_mug,54,49,5,0.9074074074074074,0.9213376300581243
object_type,figurine_or_sculpture,115,108,7,0.9391304347826087,0.854974864337005
object_type,mixed_display_or_collection,29,16,13,0.5517241379310345,0.6414226747356
object_type,other,14,12,2,0.8571428571428571,0.7855421880223965
object_type,plate_or_bowl,38,32,6,0.8421052631578947,0.8134584772619865
object_type,unreviewed,1345,1256,89,0.9338289962825279,0.8944550285880172
object_type,vase_jug_or_vessel,53,50,3,0.9433962264150944,0.8849257874727664
global_source_cohort,src_global_bub_blue_fair_table,10,10,0,1.0,0.9368082236398007
global_source_cohort,src_global_bub_dark_cloth_closeups,13,13,0,1.0,0.9847576120651644
global_source_cohort,src_global_bub_fair_vendor_a,23,23,0,1.0,0.9638690611044715
global_source_cohort,src_global_bub_leaf_stump,7,7,0,1.0,0.9940730672467514
global_source_cohort,src_global_bub_mesh_plate_pairs,10,10,0,1.0,0.8884386605225322
global_source_cohort,src_global_bub_museum_interior,30,22,8,0.7333333333333333,0.7811773469993162
global_source_cohort,src_global_bub_vognik_watermark,33,33,0,1.0,0.9038054769217482
global_source_cohort,src_global_kos_huclia_watermark,6,6,0,1.0,0.7625635032792224
global_source_cohort,src_global_kos_museum_emblem,5,5,0,1.0,0.8976126117445619
global_source_cohort,src_global_kos_shop_camera_series,23,22,1,0.9565217391304348,0.8917355530952188
global_source_cohort,src_global_kos_textile_archive,26,26,0,1.0,0.8922254744657269
global_source_cohort,src_global_opn_gray_catalog_b,104,69,35,0.6634615384615384,0.725598773665397
global_source_cohort,src_global_opn_museum_display_logo,31,30,1,0.967741935483871,0.8583370303198236
global_source_cohort,src_global_opn_roundmark_catalog,261,259,2,0.9923371647509579,0.922794438491349
global_source_cohort,src_global_opn_shelf_figurines,38,30,8,0.7894736842105263,0.644178386070085
global_source_cohort,src_global_opn_shop_cubbies,42,17,25,0.40476190476190477,0.6001852032043316
global_source_cohort,src_global_pet_gold_x_watermark,18,15,3,0.8333333333333334,0.8227099048532972
global_source_cohort,unassigned,1013,968,45,0.9555774925962488,0.9125800313932105
cv_fold,0,500,486,14,0.972,0.9136987819285852
cv_fold,1,244,238,6,0.9754098360655737,0.9267483085188498
cv_fold,2,270,261,9,0.9666666666666667,0.9148895133085472
cv_fold,3,342,292,50,0.8538011695906432,0.839905844469844
cv_fold,4,337,288,49,0.8545994065281899,0.833320396009178
