representation,metric_status,c_value,diagnostic_only,train_examples,validation_examples,iterations,max_iterations,converged,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,top_3_accuracy
dinov3_vits16__cls__center_crop,diagnostic_production_holdout,0.01,True,1369,324,7,3000,True,0.7345679012345679,0.761345596432553,0.7503496179499403,0.761345596432553,0.7355447065290442,0.9598765432098766
dinov3_vits16__cls__center_crop,diagnostic_production_holdout,0.1,True,1369,324,19,3000,True,0.7808641975308642,0.8243968784838349,0.8015972285754366,0.8243968784838349,0.7901623864766338,0.9722222222222222
dinov3_vits16__cls__center_crop,diagnostic_production_holdout,1.0,True,1369,324,34,3000,True,0.8333333333333334,0.8721148272017837,0.8501087635415994,0.8721148272017837,0.8409234329439595,0.9783950617283951
dinov3_vits16__cls__center_crop,diagnostic_production_holdout,10.0,True,1369,324,45,3000,True,0.8641975308641975,0.9011839464882943,0.875337329744719,0.9011839464882943,0.8690027587481532,0.9876543209876543
dinov3_vits16__cls_patch_concat__center_crop,diagnostic_production_holdout,0.01,True,1369,324,7,3000,True,0.7253086419753086,0.7487045707915273,0.7410962814861584,0.7487045707915273,0.7233779553779554,0.9660493827160493
dinov3_vits16__cls_patch_concat__center_crop,diagnostic_production_holdout,0.1,True,1369,324,20,3000,True,0.8024691358024691,0.8350858416945373,0.8195799280810722,0.8350858416945373,0.8094325568908249,0.9753086419753086
dinov3_vits16__cls_patch_concat__center_crop,diagnostic_production_holdout,1.0,True,1369,324,31,3000,True,0.8425925925925926,0.8767959866220736,0.855100213524586,0.8767959866220736,0.8492442972799708,0.9876543209876543
dinov3_vits16__cls_patch_concat__center_crop,diagnostic_production_holdout,10.0,True,1369,324,48,3000,True,0.8827160493827161,0.9100044593088071,0.8866193637739045,0.9100044593088071,0.8855270029528761,0.9907407407407407
dinov3_vits16__patch_mean__center_crop,diagnostic_production_holdout,0.01,True,1369,324,8,3000,True,0.7037037037037037,0.6994927536231884,0.7114098902838559,0.6994927536231884,0.6747846250717374,0.9660493827160493
dinov3_vits16__patch_mean__center_crop,diagnostic_production_holdout,0.1,True,1369,324,22,3000,True,0.7654320987654321,0.7744749163879598,0.7825213032581454,0.7744749163879598,0.7607988529761822,0.9598765432098766
dinov3_vits16__patch_mean__center_crop,diagnostic_production_holdout,1.0,True,1369,324,39,3000,True,0.8395061728395061,0.8642396878483835,0.8480287756031464,0.8642396878483835,0.8408762702193251,0.9814814814814815
dinov3_vits16__patch_mean__center_crop,diagnostic_production_holdout,10.0,True,1369,324,62,3000,True,0.8827160493827161,0.9055027870680045,0.8812542696403456,0.9055027870680045,0.8843429991664331,0.9814814814814815
