configuration_id,feature_family,feature_kind,embedding_blocks,embedding_dimensions,c_value,source_group_exponent,inference_cost_rank
global_cls__c10__source0,global_cls,single_embedding,dinov3_global.embedding__cls,384,10.0,0.0,6
global_cls__c10__source0p5,global_cls,single_embedding,dinov3_global.embedding__cls,384,10.0,0.5,6
global_cls__c100__source0,global_cls,single_embedding,dinov3_global.embedding__cls,384,100.0,0.0,6
global_cls__c100__source0p5,global_cls,single_embedding,dinov3_global.embedding__cls,384,100.0,0.5,6
letterbox_cls_patch__c10__source0,letterbox_cls_patch,single_embedding,dinov3_letterbox.embedding__cls_patch_concat,768,10.0,0.0,1
letterbox_cls_patch__c10__source0p5,letterbox_cls_patch,single_embedding,dinov3_letterbox.embedding__cls_patch_concat,768,10.0,0.5,1
letterbox_cls_patch__c100__source0,letterbox_cls_patch,single_embedding,dinov3_letterbox.embedding__cls_patch_concat,768,100.0,0.0,1
letterbox_cls_patch__c100__source0p5,letterbox_cls_patch,single_embedding,dinov3_letterbox.embedding__cls_patch_concat,768,100.0,0.5,1
three_view_cls_logit_ensemble__c10__source0,three_view_cls_logit_ensemble,centered_logit_ensemble,dinov3_center.embedding__cls|dinov3_letterbox.embedding__cls|dinov3_global.embedding__cls,384|384|384,10.0,0.0,8
three_view_cls_logit_ensemble__c10__source0p5,three_view_cls_logit_ensemble,centered_logit_ensemble,dinov3_center.embedding__cls|dinov3_letterbox.embedding__cls|dinov3_global.embedding__cls,384|384|384,10.0,0.5,8
three_view_cls_logit_ensemble__c100__source0,three_view_cls_logit_ensemble,centered_logit_ensemble,dinov3_center.embedding__cls|dinov3_letterbox.embedding__cls|dinov3_global.embedding__cls,384|384|384,100.0,0.0,8
three_view_cls_logit_ensemble__c100__source0p5,three_view_cls_logit_ensemble,centered_logit_ensemble,dinov3_center.embedding__cls|dinov3_letterbox.embedding__cls|dinov3_global.embedding__cls,384|384|384,100.0,0.5,8
