dimension,value,image_count,correct_count,error_count,accuracy,mean_uncalibrated_max_probability
cv_fold,0,500,487,13,0.974,0.9573861275737797
cv_fold,1,244,239,5,0.9795081967213115,0.9335606760940272
cv_fold,2,270,263,7,0.9740740740740741,0.9609204975801972
cv_fold,3,342,304,38,0.8888888888888888,0.9192945591764646
cv_fold,4,337,298,39,0.884272997032641,0.8472326151687525
named_source_cohort,src_global_bub_blue_fair_table,10,10,0,1.0,0.9760726582720229
named_source_cohort,src_global_bub_dark_cloth_closeups,13,13,0,1.0,0.997449918960889
named_source_cohort,src_global_bub_fair_vendor_a,23,23,0,1.0,0.9661102757237139
named_source_cohort,src_global_bub_leaf_stump,7,7,0,1.0,0.9913467352343259
named_source_cohort,src_global_bub_mesh_plate_pairs,10,8,2,0.8,0.8467641585129139
named_source_cohort,src_global_bub_museum_interior,30,20,10,0.6666666666666666,0.8754774164598916
named_source_cohort,src_global_bub_vognik_watermark,33,33,0,1.0,0.9194768337719265
named_source_cohort,src_global_kos_huclia_watermark,6,6,0,1.0,0.9287833435364622
named_source_cohort,src_global_kos_museum_emblem,5,5,0,1.0,0.9776754537664628
named_source_cohort,src_global_kos_shop_camera_series,23,22,1,0.9565217391304348,0.8949155985837592
named_source_cohort,src_global_kos_textile_archive,26,26,0,1.0,0.8816608806381745
named_source_cohort,src_global_opn_gray_catalog_b,104,82,22,0.7884615384615384,0.853074272161252
named_source_cohort,src_global_opn_museum_display_logo,31,31,0,1.0,0.9601750513122619
named_source_cohort,src_global_opn_roundmark_catalog,261,257,4,0.9846743295019157,0.9638963395986373
named_source_cohort,src_global_opn_shelf_figurines,38,29,9,0.7631578947368421,0.6782483524285716
named_source_cohort,src_global_opn_shop_cubbies,42,25,17,0.5952380952380952,0.6350887784979533
named_source_cohort,src_global_pet_gold_x_watermark,18,15,3,0.8333333333333334,0.8914747720320406
object_type,box_or_container,38,35,3,0.9210526315789473,0.9208713993791875
object_type,cup_or_mug,54,52,2,0.9629629629629629,0.9410006127472237
object_type,figurine_or_sculpture,115,107,8,0.9304347826086956,0.894493665199689
object_type,mixed_display_or_collection,29,19,10,0.6551724137931034,0.6836876046964172
object_type,other,14,12,2,0.8571428571428571,0.869086719598377
object_type,painting_print_or_panel,3,3,0,1.0,0.9727333301271432
object_type,plate_or_bowl,38,31,7,0.8157894736842105,0.8387888276322242
object_type,textile_or_rug,4,4,0,1.0,0.9494216083847176
object_type,unreviewed,1345,1277,68,0.9494423791821561,0.9345301366324829
object_type,vase_jug_or_vessel,53,51,2,0.9622641509433962,0.936708785524058
motif_visibility,clear,329,299,30,0.9088145896656535,0.8918071742794055
motif_visibility,partial,12,9,3,0.75,0.7891502217959593
motif_visibility,small,7,6,1,0.8571428571428571,0.8613052686486847
motif_visibility,unreviewed,1345,1277,68,0.9494423791821561,0.9345301366324829
contract_slice,hard_three_opishnyan_pooled,184,136,48,0.7391304347826086,0.7672113608367934
contract_slice,challenging_opishnyan,209,150,59,0.7177033492822966,0.7634180871880255
contract_slice,large_named_sources_pooled,611,548,63,0.8968903436988543,0.8917235640488201
