scope,outer_fold,stage,configuration_id,feature_family,specialist,c_value,source_group_exponent,inference_cost_rank,is_exact_reference,eligible,eligibility_failures,robustness_rank,eligible_selection_rank,selected,evaluated_examples,fit_count,maximum_iterations,accuracy,macro_f1,balanced_accuracy,source_group_balanced_accuracy,ceramic_worst_group_recall,robustness_score,minimum_fold_source_group_balanced_accuracy,per_class_recall_json,per_class_group_recall_json
outer_inner_oof,0,base,global_cls__c10__source0,global_cls,none,10.0,0.0,6,True,True,,8,8,False,1193,4,89,0.8885163453478625,0.8746480078605039,0.8836561504943858,0.8744821807803177,0.49337715855573,0.630839036081641,0.8686699030222191,"{""01_opishnyan_ceramics"":0.6166666666666667,""02_ornek"":0.9772079772079773,""03_bubnivka_ceramics"":0.8941176470588236,""04_petrykivka_painting"":0.9615384615384616,""05_kosiv_ceramics"":0.96875}","{""01_opishnyan_ceramics"":0.49337715855573,""02_ornek"":0.9769452449567724,""03_bubnivka_ceramics"":0.9491384432560903,""04_petrykivka_painting"":0.9726631393298059,""05_kosiv_ceramics"":0.9802869178031897}"
outer_inner_oof,0,base,global_cls__c10__source0p5,global_cls,none,10.0,0.5,6,False,True,,4,4,False,1193,4,90,0.8968985750209556,0.8845177361527325,0.8906570961718021,0.8844054444766198,0.5707744636316064,0.6937919365039391,0.8793274993941012,"{""01_opishnyan_ceramics"":0.6666666666666666,""02_ornek"":0.9829059829059829,""03_bubnivka_ceramics"":0.8823529411764706,""04_petrykivka_painting"":0.9615384615384616,""05_kosiv_ceramics"":0.9598214285714286}","{""01_opishnyan_ceramics"":0.5707744636316064,""02_ornek"":0.9827089337175793,""03_bubnivka_ceramics"":0.9275698158051099,""04_petrykivka_painting"":0.9726631393298059,""05_kosiv_ceramics"":0.9683108698989981}"
outer_inner_oof,0,base,global_cls__c100__source0,global_cls,none,100.0,0.0,6,False,True,,6,6,False,1193,4,109,0.8968985750209556,0.8832434030973007,0.8919861619861619,0.8788362589650527,0.49397446225453745,0.6324581556973585,0.8749018262257884,"{""01_opishnyan_ceramics"":0.625,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.9,""04_petrykivka_painting"":0.9759615384615384,""05_kosiv_ceramics"":0.9732142857142857}","{""01_opishnyan_ceramics"":0.49397446225453745,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9497920380273321,""04_petrykivka_painting"":0.9835390946502057,""05_kosiv_ceramics"":0.9812849217952055}"
outer_inner_oof,0,base,global_cls__c100__source0p5,global_cls,none,100.0,0.5,6,False,True,,2,2,False,1193,4,115,0.9027661357921207,0.8906405685942911,0.8974168342550695,0.8993913167781364,0.6046985595857776,0.7231757121781305,0.8837428352645743,"{""01_opishnyan_ceramics"":0.6625,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.8941176470588236,""04_petrykivka_painting"":0.9759615384615384,""05_kosiv_ceramics"":0.96875}","{""01_opishnyan_ceramics"":0.6046985595857776,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9478312537136065,""04_petrykivka_painting"":0.9835390946502057,""05_kosiv_ceramics"":0.9752968978431097}"
outer_inner_oof,0,base,letterbox_cls_patch__c10__source0,letterbox_cls_patch,none,10.0,0.0,1,False,True,,12,11,False,1193,4,112,0.8792958927074602,0.8662943259831035,0.8770300940889177,0.8608311674391229,0.44854925775978405,0.5897830359769598,0.8578993035735337,"{""01_opishnyan_ceramics"":0.5833333333333334,""02_ornek"":0.9658119658119658,""03_bubnivka_ceramics"":0.9294117647058824,""04_petrykivka_painting"":0.9423076923076923,""05_kosiv_ceramics"":0.9642857142857143}","{""01_opishnyan_ceramics"":0.44854925775978405,""02_ornek"":0.9654178674351584,""03_bubnivka_ceramics"":0.9544266191325014,""04_petrykivka_painting"":0.961493239271017,""05_kosiv_ceramics"":0.9742688535971534}"
outer_inner_oof,0,base,letterbox_cls_patch__c10__source0p5,letterbox_cls_patch,none,10.0,0.5,1,False,False,macro_f1_drop|petrykivka_recall_drop,9,,False,1193,4,110,0.8751047778709137,0.862273712467714,0.8702342945725299,0.8605047652479689,0.48699358285824446,0.6219826529415077,0.8561459789859496,"{""01_opishnyan_ceramics"":0.6,""02_ornek"":0.9686609686609686,""03_bubnivka_ceramics"":0.8941176470588236,""04_petrykivka_painting"":0.9375,""05_kosiv_ceramics"":0.9508928571428571}","{""01_opishnyan_ceramics"":0.48699358285824446,""02_ornek"":0.968299711815562,""03_bubnivka_ceramics"":0.9289958407605465,""04_petrykivka_painting"":0.9562022339800118,""05_kosiv_ceramics"":0.9620324568254794}"
outer_inner_oof,0,base,letterbox_cls_patch__c100__source0,letterbox_cls_patch,none,100.0,0.0,1,False,True,,10,9,False,1193,4,130,0.8826487845766974,0.8691783701328493,0.879437501496325,0.8630357043850875,0.4470129651050704,0.5889676592837749,0.8602780207119762,"{""01_opishnyan_ceramics"":0.5791666666666667,""02_ornek"":0.9772079772079773,""03_bubnivka_ceramics"":0.9294117647058824,""04_petrykivka_painting"":0.9471153846153846,""05_kosiv_ceramics"":0.9642857142857143}","{""01_opishnyan_ceramics"":0.4470129651050704,""02_ornek"":0.9769452449567724,""03_bubnivka_ceramics"":0.9544266191325014,""04_petrykivka_painting"":0.9617871840094062,""05_kosiv_ceramics"":0.9750065087216871}"
outer_inner_oof,0,base,letterbox_cls_patch__c100__source0p5,letterbox_cls_patch,none,100.0,0.5,1,False,True,,11,10,False,1193,4,136,0.8809723386420788,0.867777759128683,0.8762700806818454,0.8589596434568472,0.4497430044892451,0.5903725974568458,0.8594908796992714,"{""01_opishnyan_ceramics"":0.5916666666666667,""02_ornek"":0.9772079772079773,""03_bubnivka_ceramics"":0.9058823529411765,""04_petrykivka_painting"":0.9423076923076923,""05_kosiv_ceramics"":0.9642857142857143}","{""01_opishnyan_ceramics"":0.4497430044892451,""02_ornek"":0.9769452449567724,""03_bubnivka_ceramics"":0.9316102198455138,""04_petrykivka_painting"":0.961493239271017,""05_kosiv_ceramics"":0.9750065087216871}"
outer_inner_oof,0,base,three_view_cls_logit_ensemble__c10__source0,three_view_cls_logit_ensemble,none,10.0,0.0,8,False,True,,7,7,False,1193,12,96,0.8876781223805532,0.8738412827343979,0.883537611625847,0.8730389401188727,0.4913339323583685,0.6287924132817925,0.8711275957054758,"{""01_opishnyan_ceramics"":0.6125,""02_ornek"":0.9715099715099715,""03_bubnivka_ceramics"":0.8941176470588236,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9732142857142857}","{""01_opishnyan_ceramics"":0.4913339323583685,""02_ornek"":0.9711815561959655,""03_bubnivka_ceramics"":0.9491978609625668,""04_petrykivka_painting"":0.9779541446208112,""05_kosiv_ceramics"":0.9755272064566519}"
outer_inner_oof,0,base,three_view_cls_logit_ensemble__c10__source0p5,three_view_cls_logit_ensemble,none,10.0,0.5,8,False,True,,3,3,False,1193,12,91,0.8952221290863369,0.8833163116253901,0.8902231319878379,0.8906440991415462,0.6062193602137211,0.7214094145798339,0.8776369041586433,"{""01_opishnyan_ceramics"":0.6625,""02_ornek"":0.9715099715099715,""03_bubnivka_ceramics"":0.8823529411764706,""04_petrykivka_painting"":0.9615384615384616,""05_kosiv_ceramics"":0.9732142857142857}","{""01_opishnyan_ceramics"":0.6062193602137211,""02_ornek"":0.9711815561959655,""03_bubnivka_ceramics"":0.9276292335115863,""04_petrykivka_painting"":0.9726631393298059,""05_kosiv_ceramics"":0.9755272064566519}"
