scope,outer_fold,stage,configuration_id,base_configuration_id,correction_configuration_id,feature_family,correction,c_value,source_group_exponent,blend_weight,combined_view_count,is_exact_reference,eligible,eligibility_failures,eligible_selection_rank,selected,evaluated_examples,fit_count,maximum_iterations,accuracy,macro_f1,balanced_accuracy,source_group_balanced_accuracy,ceramic_worst_group_recall,robustness_score,minimum_fold_source_group_balanced_accuracy,boundary_score,minimum_fold_boundary_score,opishnyan_recall,bubnivka_recall,bubnivka_precision,ceramic_macro_f1,per_class_recall_json,per_class_group_recall_json
outer_inner_oof,0,base,global_cls__c10__source0,global_cls__c10__source0,,global_cls,not_applicable,10.0,0.0,,6,True,True,,3,False,1193,4,89,0.8885163453478625,0.8746480078605039,0.8836561504943858,0.8744821807803177,0.49337715855573,0.630839036081641,0.8686699030222191,,,0.6166666666666667,0.8941176470588236,0.6972477064220184,0.8083159665250331,"{""01_opishnyan_ceramics"":0.6166666666666667,""02_ornek"":0.9772079772079773,""03_bubnivka_ceramics"":0.8941176470588236,""04_petrykivka_painting"":0.9615384615384616,""05_kosiv_ceramics"":0.96875}","{""01_opishnyan_ceramics"":0.49337715855573,""02_ornek"":0.9769452449567724,""03_bubnivka_ceramics"":0.9491384432560903,""04_petrykivka_painting"":0.9726631393298059,""05_kosiv_ceramics"":0.9802869178031897}"
outer_inner_oof,0,base,global_cls__c10__source0p5,global_cls__c10__source0p5,,global_cls,not_applicable,10.0,0.5,,6,False,True,,2,False,1193,4,90,0.8968985750209556,0.8845177361527325,0.8906570961718021,0.8844054444766198,0.5707744636316064,0.6937919365039391,0.8793274993941012,,,0.6666666666666666,0.8823529411764706,0.7281553398058253,0.8245924107138062,"{""01_opishnyan_ceramics"":0.6666666666666666,""02_ornek"":0.9829059829059829,""03_bubnivka_ceramics"":0.8823529411764706,""04_petrykivka_painting"":0.9615384615384616,""05_kosiv_ceramics"":0.9598214285714286}","{""01_opishnyan_ceramics"":0.5707744636316064,""02_ornek"":0.9827089337175793,""03_bubnivka_ceramics"":0.9275698158051099,""04_petrykivka_painting"":0.9726631393298059,""05_kosiv_ceramics"":0.9683108698989981}"
outer_inner_oof,0,base,three_view_cls_logit_ensemble__c100__source0p5,three_view_cls_logit_ensemble__c100__source0p5,,three_view_cls_logit_ensemble,not_applicable,100.0,0.5,,8,False,True,,1,True,1193,12,116,0.8977367979882649,0.8843022609087914,0.891936334362805,0.8944667447157819,0.6003573494174999,0.7184787643003917,0.887345528867268,,,0.6416666666666667,0.888235294117647,0.722488038277512,0.8229204091463305,"{""01_opishnyan_ceramics"":0.6416666666666667,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.888235294117647,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.6003573494174999,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9269162210338681,""04_petrykivka_painting"":0.9779541446208112,""05_kosiv_ceramics"":0.9815152304087478}"
outer_inner_oof,0,correction,pair_none,three_view_cls_logit_ensemble__c100__source0p5,pair_none,none,none,10.0,0.0,0.0,8,True,True,,17,False,1193,0,116,0.8977367979882649,0.8843022609087914,0.891936334362805,0.8944667447157819,0.6003573494174999,0.7184787643003917,,0.7570653578404916,0.6059337040381864,0.6416666666666667,0.888235294117647,0.722488038277512,0.8229204091463305,"{""01_opishnyan_ceramics"":0.6416666666666667,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.888235294117647,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.6003573494174999,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9269162210338681,""04_petrykivka_painting"":0.9779541446208112,""05_kosiv_ceramics"":0.9815152304087478}"
outer_inner_oof,0,correction,pair_global_cls__c10__source0__blend0p25,three_view_cls_logit_ensemble__c100__source0p5,pair_global_cls__c10__source0__blend0p25,pair_global_cls,pairwise_conditional_logit_blend,10.0,0.0,0.25,8,False,True,,14,False,1193,4,43,0.8985750209555742,0.8852957781328575,0.8931128049510402,0.8951203394870237,0.6003573494174999,0.7186895243054758,,0.7588425577170205,0.5974371256932647,0.6416666666666667,0.8941176470588236,0.7238095238095238,0.8245762711864407,"{""01_opishnyan_ceramics"":0.6416666666666667,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.8941176470588236,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.6003573494174999,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9301841948900772,""04_petrykivka_painting"":0.9779541446208112,""05_kosiv_ceramics"":0.9815152304087478}"
outer_inner_oof,0,correction,pair_global_cls__c10__source0__blend0p5,three_view_cls_logit_ensemble__c100__source0p5,pair_global_cls__c10__source0__blend0p5,pair_global_cls,pairwise_conditional_logit_blend,10.0,0.0,0.5,8,False,False,source_robustness_drop|opishnyan_group_recall_drop,,False,1193,4,43,0.8952221290863369,0.8812170564756358,0.8894363343628049,0.887721284293851,0.563956250516401,0.689734400359653,,0.7487789588608817,0.5849314184670616,0.6291666666666667,0.888235294117647,0.7122641509433962,0.8177784017577379,"{""01_opishnyan_ceramics"":0.6291666666666667,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.888235294117647,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.563956250516401,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9295900178253119,""04_petrykivka_painting"":0.9779541446208112,""05_kosiv_ceramics"":0.9815152304087478}"
outer_inner_oof,0,correction,pair_global_cls__c10__source0__blend0p75,three_view_cls_logit_ensemble__c100__source0p5,pair_global_cls__c10__source0__blend0p75,pair_global_cls,pairwise_conditional_logit_blend,10.0,0.0,0.75,8,False,False,accuracy_drop|macro_f1_drop|source_robustness_drop|opishnyan_group_recall_drop,,False,1193,4,43,0.8901927912824812,0.8751168502669036,0.883750059853001,0.872755747428284,0.4904357557310504,0.6279831169231966,,0.7342071732246422,0.5646775338950851,0.6125,0.8764705882352941,0.6962616822429907,0.8076113914098508,"{""01_opishnyan_ceramics"":0.6125,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.8764705882352941,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.4904357557310504,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9282828282828282,""04_petrykivka_painting"":0.9779541446208112,""05_kosiv_ceramics"":0.9815152304087478}"
outer_inner_oof,0,correction,pair_global_cls__c10__source0__blend1,three_view_cls_logit_ensemble__c100__source0p5,pair_global_cls__c10__source0__blend1,pair_global_cls,pairwise_conditional_logit_blend,10.0,0.0,1.0,8,False,False,accuracy_drop|macro_f1_drop|source_robustness_drop|opishnyan_group_recall_drop,,False,1193,4,43,0.8876781223805532,0.8720269273469412,0.881250059853001,0.8723290281575797,0.48830215937752935,0.6261213943048127,,0.726818615422824,0.5587046137632012,0.6,0.8764705882352941,0.6898148148148148,0.8024615198765804,"{""01_opishnyan_ceramics"":0.6,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.8764705882352941,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.48830215937752935,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9282828282828282,""04_petrykivka_painting"":0.9779541446208112,""05_kosiv_ceramics"":0.9815152304087478}"
outer_inner_oof,0,correction,pair_global_cls__c10__source0p5__blend0p25,three_view_cls_logit_ensemble__c100__source0p5,pair_global_cls__c10__source0p5__blend0p25,pair_global_cls,pairwise_conditional_logit_blend,10.0,0.5,0.25,8,False,True,,10,False,1193,4,42,0.8994132439228835,0.886355437351488,0.8936030010294717,0.89516970538723,0.6025649632322565,0.7202849902786422,,0.762587105154732,0.5911664818223289,0.65,0.888235294117647,0.7294685990338164,0.8263423698841583,"{""01_opishnyan_ceramics"":0.65,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.888235294117647,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.6025649632322565,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9282234105763517,""04_petrykivka_painting"":0.9779541446208112,""05_kosiv_ceramics"":0.9815152304087478}"
outer_inner_oof,0,correction,pair_global_cls__c10__source0p5__blend0p5,three_view_cls_logit_ensemble__c100__source0p5,pair_global_cls__c10__source0p5__blend0p5,pair_global_cls,pairwise_conditional_logit_blend,10.0,0.5,0.5,8,False,True,,2,False,1193,4,42,0.9002514668901928,0.8874170481373147,0.894436334362805,0.8952204848083101,0.6028188603376573,0.7204828019393403,,0.766331580372566,0.5974371256932647,0.6541666666666667,0.888235294117647,0.7365853658536585,0.8281117211938694,"{""01_opishnyan_ceramics"":0.6541666666666667,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.888235294117647,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.6028188603376573,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9282234105763517,""04_petrykivka_painting"":0.9779541446208112,""05_kosiv_ceramics"":0.9815152304087478}"
