dimension,value,image_count,correct_count,error_count,accuracy,mean_uncalibrated_max_probability
cv_fold,0,500,488,12,0.976,0.9493321028268289
cv_fold,1,244,238,6,0.9754098360655737,0.9326515408754986
cv_fold,2,270,263,7,0.9740740740740741,0.9586745556376964
cv_fold,3,342,303,39,0.8859649122807017,0.9129622026149089
cv_fold,4,337,298,39,0.884272997032641,0.8472326151687525
named_source_cohort,src_global_bub_blue_fair_table,10,10,0,1.0,0.9572089198787775
named_source_cohort,src_global_bub_dark_cloth_closeups,13,13,0,1.0,0.9967785789992545
named_source_cohort,src_global_bub_fair_vendor_a,23,23,0,1.0,0.9633637846172145
named_source_cohort,src_global_bub_leaf_stump,7,7,0,1.0,0.9913467352343259
named_source_cohort,src_global_bub_mesh_plate_pairs,10,8,2,0.8,0.8434250627651656
named_source_cohort,src_global_bub_museum_interior,30,24,6,0.8,0.8552195245562564
named_source_cohort,src_global_bub_vognik_watermark,33,33,0,1.0,0.9194768337719265
named_source_cohort,src_global_kos_huclia_watermark,6,6,0,1.0,0.9287833435364622
named_source_cohort,src_global_kos_museum_emblem,5,5,0,1.0,0.9776754537664628
named_source_cohort,src_global_kos_shop_camera_series,23,22,1,0.9565217391304348,0.8949155985837592
named_source_cohort,src_global_kos_textile_archive,26,26,0,1.0,0.8816608806381745
named_source_cohort,src_global_opn_gray_catalog_b,104,77,27,0.7403846153846154,0.8402503915796119
named_source_cohort,src_global_opn_museum_display_logo,31,31,0,1.0,0.9554594421020205
named_source_cohort,src_global_opn_roundmark_catalog,261,258,3,0.9885057471264368,0.9568160140707468
named_source_cohort,src_global_opn_shelf_figurines,38,29,9,0.7631578947368421,0.6782483524285716
named_source_cohort,src_global_opn_shop_cubbies,42,25,17,0.5952380952380952,0.6350887784979533
named_source_cohort,src_global_pet_gold_x_watermark,18,15,3,0.8333333333333334,0.8914747720320406
object_type,box_or_container,38,35,3,0.9210526315789473,0.9116036146457396
object_type,cup_or_mug,54,52,2,0.9629629629629629,0.9382011285249635
object_type,figurine_or_sculpture,115,107,8,0.9304347826086956,0.8921363942433845
object_type,mixed_display_or_collection,29,19,10,0.6551724137931034,0.6828318168863705
object_type,other,14,12,2,0.8571428571428571,0.8447345725090419
object_type,painting_print_or_panel,3,3,0,1.0,0.9765770716679599
object_type,plate_or_bowl,38,30,8,0.7894736842105263,0.8390720879528428
object_type,textile_or_rug,4,4,0,1.0,0.9494216083847176
object_type,unreviewed,1345,1277,68,0.9494423791821561,0.9306058522993713
object_type,vase_jug_or_vessel,53,51,2,0.9622641509433962,0.9249189309862353
motif_visibility,clear,329,298,31,0.9057750759878419,0.8866641343174039
motif_visibility,partial,12,9,3,0.75,0.7856967373924197
motif_visibility,small,7,6,1,0.8571428571428571,0.85998423337044
motif_visibility,unreviewed,1345,1277,68,0.9494423791821561,0.9306058522993713
contract_slice,hard_three_opishnyan_pooled,184,131,53,0.7119565217391305,0.7599630805080402
contract_slice,challenging_opishnyan,209,144,65,0.6889952153110048,0.7567269082585135
contract_slice,large_named_sources_pooled,611,548,63,0.8968903436988543,0.885178983882951
