configuration_id,fusion_mode,family,embedding_blocks,blend_weight,head_count,encoder_count,intervention_rank
fusion_none,none,none,,0.0,0,0,0
independent_four__multiclass__blend0p15,multiclass,independent_four,dinov2_center.embedding__model_pool|convnext_center.embedding__model_pool|clip_center.embedding__model_pool|mobilenet_center.embedding__model_pool,0.15,4,4,3
independent_four__multiclass__blend0p3,multiclass,independent_four,dinov2_center.embedding__model_pool|convnext_center.embedding__model_pool|clip_center.embedding__model_pool|mobilenet_center.embedding__model_pool,0.3,4,4,3
independent_four__multiclass__blend0p5,multiclass,independent_four,dinov2_center.embedding__model_pool|convnext_center.embedding__model_pool|clip_center.embedding__model_pool|mobilenet_center.embedding__model_pool,0.5,4,4,3
independent_four__pair__blend0p15,pair,independent_four,dinov2_center.embedding__model_pool|convnext_center.embedding__model_pool|clip_center.embedding__model_pool|mobilenet_center.embedding__model_pool,0.15,4,4,2
independent_four__pair__blend0p3,pair,independent_four,dinov2_center.embedding__model_pool|convnext_center.embedding__model_pool|clip_center.embedding__model_pool|mobilenet_center.embedding__model_pool,0.3,4,4,2
independent_four__pair__blend0p5,pair,independent_four,dinov2_center.embedding__model_pool|convnext_center.embedding__model_pool|clip_center.embedding__model_pool|mobilenet_center.embedding__model_pool,0.5,4,4,2
independent_four__pair_majority__blend0p15,pair_majority,independent_four,dinov2_center.embedding__model_pool|convnext_center.embedding__model_pool|clip_center.embedding__model_pool|mobilenet_center.embedding__model_pool,0.15,4,4,1
independent_four__pair_majority__blend0p3,pair_majority,independent_four,dinov2_center.embedding__model_pool|convnext_center.embedding__model_pool|clip_center.embedding__model_pool|mobilenet_center.embedding__model_pool,0.3,4,4,1
independent_four__pair_majority__blend0p5,pair_majority,independent_four,dinov2_center.embedding__model_pool|convnext_center.embedding__model_pool|clip_center.embedding__model_pool|mobilenet_center.embedding__model_pool,0.5,4,4,1
structural_four__multiclass__blend0p15,multiclass,structural_four,dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat|dinov2_center.embedding__model_pool|convnext_center.embedding__model_pool,0.15,4,3,3
structural_four__multiclass__blend0p3,multiclass,structural_four,dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat|dinov2_center.embedding__model_pool|convnext_center.embedding__model_pool,0.3,4,3,3
structural_four__multiclass__blend0p5,multiclass,structural_four,dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat|dinov2_center.embedding__model_pool|convnext_center.embedding__model_pool,0.5,4,3,3
structural_four__pair__blend0p15,pair,structural_four,dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat|dinov2_center.embedding__model_pool|convnext_center.embedding__model_pool,0.15,4,3,2
structural_four__pair__blend0p3,pair,structural_four,dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat|dinov2_center.embedding__model_pool|convnext_center.embedding__model_pool,0.3,4,3,2
structural_four__pair__blend0p5,pair,structural_four,dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat|dinov2_center.embedding__model_pool|convnext_center.embedding__model_pool,0.5,4,3,2
structural_four__pair_majority__blend0p15,pair_majority,structural_four,dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat|dinov2_center.embedding__model_pool|convnext_center.embedding__model_pool,0.15,4,3,1
structural_four__pair_majority__blend0p3,pair_majority,structural_four,dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat|dinov2_center.embedding__model_pool|convnext_center.embedding__model_pool,0.3,4,3,1
structural_four__pair_majority__blend0p5,pair_majority,structural_four,dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat|dinov2_center.embedding__model_pool|convnext_center.embedding__model_pool,0.5,4,3,1
broad_six__multiclass__blend0p15,multiclass,broad_six,dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat|dinov2_center.embedding__model_pool|convnext_center.embedding__model_pool|clip_center.embedding__model_pool|mobilenet_center.embedding__model_pool,0.15,6,5,3
broad_six__multiclass__blend0p3,multiclass,broad_six,dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat|dinov2_center.embedding__model_pool|convnext_center.embedding__model_pool|clip_center.embedding__model_pool|mobilenet_center.embedding__model_pool,0.3,6,5,3
broad_six__multiclass__blend0p5,multiclass,broad_six,dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat|dinov2_center.embedding__model_pool|convnext_center.embedding__model_pool|clip_center.embedding__model_pool|mobilenet_center.embedding__model_pool,0.5,6,5,3
