scope,outer_fold,stage,configuration_id,base_configuration_id,motif_configuration_id,motif_descriptor,c_value,source_group_exponent,descriptor_dimensions,complexity_rank,is_exact_reference,eligible,eligibility_failures,eligible_selection_rank,selected,evaluated_examples,fit_count,maximum_iterations,accuracy,macro_f1,balanced_accuracy,source_group_balanced_accuracy,ceramic_worst_group_recall,robustness_score,readiness_score,minimum_fold_readiness_score,hard_three_accuracy,opishnyan_recall,bubnivka_recall,bubnivka_precision,ceramic_macro_f1,per_class_recall_json,per_class_group_recall_json
full_development_oof,,base,global_cls__c10__source0,global_cls__c10__source0,,not_applicable,10.0,0.0,0,6,True,True,,3,False,1693,5,106,0.9308919078558772,0.9284474338634805,0.9403779455588648,0.8737067559884156,0.5107666923707231,0.6446643095785765,,,,0.8343313373253493,0.9295774647887324,,,"{""01_opishnyan_ceramics"":0.8343313373253493,""02_ornek"":0.9863325740318907,""03_bubnivka_ceramics"":0.9295774647887324,""04_petrykivka_painting"":0.9730769230769231,""05_kosiv_ceramics"":0.9785714285714285}","{""01_opishnyan_ceramics"":0.5107666923707231,""02_ornek"":0.9862068965517241,""03_bubnivka_ceramics"":0.9153846153846154,""04_petrykivka_painting"":0.9787920700783771,""05_kosiv_ceramics"":0.9773835055566388}"
full_development_oof,,base,global_cls__c10__source0p5,global_cls__c10__source0p5,,not_applicable,10.0,0.5,0,6,False,True,,1,True,1693,5,101,0.9356172474896634,0.9323984414432559,0.9408177855816516,0.8915935697886177,0.5886209700903987,0.7091008199638852,,,,0.8602794411177644,0.9061032863849765,,,"{""01_opishnyan_ceramics"":0.8602794411177644,""02_ornek"":0.9863325740318907,""03_bubnivka_ceramics"":0.9061032863849765,""04_petrykivka_painting"":0.9692307692307692,""05_kosiv_ceramics"":0.9821428571428571}","{""01_opishnyan_ceramics"":0.5886209700903987,""02_ornek"":0.9862068965517241,""03_bubnivka_ceramics"":0.9227106227106225,""04_petrykivka_painting"":0.9785615491009682,""05_kosiv_ceramics"":0.9818678104893741}"
full_development_oof,,base,three_view_cls_logit_ensemble__c100__source0p5,three_view_cls_logit_ensemble__c100__source0p5,,not_applicable,100.0,0.5,0,8,False,True,,2,False,1693,15,135,0.9367985823981099,0.9337122206445988,0.9417615365258243,0.8921753664418439,0.5856435235776872,0.7071187528876565,,,,0.8622754491017964,0.9014084507042254,,,"{""01_opishnyan_ceramics"":0.8622754491017964,""02_ornek"":0.9863325740318907,""03_bubnivka_ceramics"":0.9014084507042254,""04_petrykivka_painting"":0.9730769230769231,""05_kosiv_ceramics"":0.9857142857142858}","{""01_opishnyan_ceramics"":0.5856435235776872,""02_ornek"":0.9862068965517241,""03_bubnivka_ceramics"":0.9199633699633698,""04_petrykivka_painting"":0.9827109266943291,""05_kosiv_ceramics"":0.9863521154221095}"
full_development_oof,,motif,motif_none,global_cls__c10__source0p5,motif_none,none,,0.5,0,0,True,True,,4,False,1693,0,0,0.9356172474896634,0.9323984414432559,0.9408177855816516,0.8915935697886177,0.5886209700903987,0.7091008199638852,0.8153999721756924,0.7333685584194808,0.7065217391304348,0.8602794411177644,0.9061032863849765,0.7782258064516129,0.9014369472133924,"{""01_opishnyan_ceramics"":0.8602794411177644,""02_ornek"":0.9863325740318907,""03_bubnivka_ceramics"":0.9061032863849765,""04_petrykivka_painting"":0.9692307692307692,""05_kosiv_ceramics"":0.9821428571428571}","{""01_opishnyan_ceramics"":0.5886209700903987,""02_ornek"":0.9862068965517241,""03_bubnivka_ceramics"":0.9227106227106225,""04_petrykivka_painting"":0.9785615491009682,""05_kosiv_ceramics"":0.9818678104893741}"
full_development_oof,,motif,motif_uniform_mean__c1__source0p5,global_cls__c10__source0p5,motif_uniform_mean__c1__source0p5,uniform_mean,1.0,0.5,384,1,False,False,recall_drop:02_ornek|recall_drop:05_kosiv_ceramics,,False,1693,5,65,0.9332545776727702,0.9313608465866885,0.9400721247702203,0.9077997486958228,0.6623298065738144,0.7658767137316986,0.8326414436315016,0.7016493745816345,0.7119565217391305,0.8602794411177644,0.9154929577464789,0.78,0.9000744721434822,"{""01_opishnyan_ceramics"":0.8602794411177644,""02_ornek"":0.9726651480637813,""03_bubnivka_ceramics"":0.9154929577464789,""04_petrykivka_painting"":0.9769230769230769,""05_kosiv_ceramics"":0.975}","{""01_opishnyan_ceramics"":0.6623298065738144,""02_ornek"":0.9724137931034482,""03_bubnivka_ceramics"":0.9364468864468863,""04_petrykivka_painting"":0.9868603042876901,""05_kosiv_ceramics"":0.9809479530672746}"
full_development_oof,,motif,motif_uniform_mean__c10__source0p5,global_cls__c10__source0p5,motif_uniform_mean__c10__source0p5,uniform_mean,10.0,0.5,384,1,False,True,,3,False,1693,5,82,0.9427052569403426,0.9397381844896648,0.9485407501118424,0.9090421450765829,0.6248670607125454,0.7406311809252166,0.8274725574079773,0.7345277417226488,0.7010869565217391,0.8662674650698603,0.9154929577464789,0.7831325301204819,0.9080789214616001,"{""01_opishnyan_ceramics"":0.8662674650698603,""02_ornek"":0.9908883826879271,""03_bubnivka_ceramics"":0.9154929577464789,""04_petrykivka_painting"":0.9807692307692307,""05_kosiv_ceramics"":0.9892857142857143}","{""01_opishnyan_ceramics"":0.6248670607125454,""02_ornek"":0.9908045977011494,""03_bubnivka_ceramics"":0.943956043956044,""04_petrykivka_painting"":0.9910096818810511,""05_kosiv_ceramics"":0.9945733411321245}"
full_development_oof,,motif,motif_texture_weighted_mean__c1__source0p5,global_cls__c10__source0p5,motif_texture_weighted_mean__c1__source0p5,texture_weighted_mean,1.0,0.5,384,2,False,False,accuracy_drop|macro_f1_drop|recall_drop:02_ornek|recall_drop:05_kosiv_ceramics,,False,1693,5,62,0.9267572356763142,0.9249721599973737,0.9332637387598203,0.9005744201359065,0.6617788697940772,0.7629274707127289,0.8249690526315296,0.6751482201921257,0.6956521739130435,0.8522954091816367,0.9014084507042254,0.7773279352226721,0.8918707631650552,"{""01_opishnyan_ceramics"":0.8522954091816367,""02_ornek"":0.9681093394077449,""03_bubnivka_ceramics"":0.9014084507042254,""04_petrykivka_painting"":0.9730769230769231,""05_kosiv_ceramics"":0.9714285714285714}","{""01_opishnyan_ceramics"":0.6617788697940772,""02_ornek"":0.967816091954023,""03_bubnivka_ceramics"":0.914102564102564,""04_petrykivka_painting"":0.9827109266943291,""05_kosiv_ceramics"":0.9764636481345391}"
full_development_oof,,motif,motif_texture_weighted_mean__c10__source0p5,global_cls__c10__source0p5,motif_texture_weighted_mean__c10__source0p5,texture_weighted_mean,10.0,0.5,384,2,False,True,,1,True,1693,5,86,0.941523922031896,0.9386036923727085,0.9465160338751296,0.9151545944888356,0.6603702845332483,0.767161354290529,0.8367768301771524,0.7292786153360538,0.7119565217391305,0.8702594810379242,0.9107981220657277,0.7886178861788617,0.907951802796103,"{""01_opishnyan_ceramics"":0.8702594810379242,""02_ornek"":0.9886104783599089,""03_bubnivka_ceramics"":0.9107981220657277,""04_petrykivka_painting"":0.9807692307692307,""05_kosiv_ceramics"":0.9821428571428571}","{""01_opishnyan_ceramics"":0.6603702845332483,""02_ornek"":0.9885057471264368,""03_bubnivka_ceramics"":0.9459706959706959,""04_petrykivka_painting"":0.9910096818810511,""05_kosiv_ceramics"":0.9899165629327454}"
full_development_oof,,motif,motif_texture_top2_mean__c1__source0p5,global_cls__c10__source0p5,motif_texture_top2_mean__c1__source0p5,texture_top2_mean,1.0,0.5,384,3,False,False,accuracy_drop|macro_f1_drop|recall_drop:02_ornek|recall_drop:05_kosiv_ceramics,,False,1693,5,62,0.9297105729474306,0.9277572961191846,0.9352611809577045,0.9109185703085935,0.6970568762373631,0.789765856798194,0.8373570762452357,0.6869139612729575,0.7065217391304348,0.8602794411177644,0.9014084507042254,0.7933884297520661,0.8971459760046717,"{""01_opishnyan_ceramics"":0.8602794411177644,""02_ornek"":0.9703872437357631,""03_bubnivka_ceramics"":0.9014084507042254,""04_petrykivka_painting"":0.9692307692307692,""05_kosiv_ceramics"":0.975}","{""01_opishnyan_ceramics"":0.6970568762373631,""02_ornek"":0.9701149425287356,""03_bubnivka_ceramics"":0.9239926739926739,""04_petrykivka_painting"":0.9824804057169202,""05_kosiv_ceramics"":0.9809479530672746}"
full_development_oof,,motif,motif_texture_top2_mean__c10__source0p5,global_cls__c10__source0p5,motif_texture_top2_mean__c10__source0p5,texture_top2_mean,10.0,0.5,384,3,False,True,,2,False,1693,5,83,0.9397519196692262,0.9370157595193938,0.9441825187372256,0.9120228574050364,0.6607467134252288,0.7663120100688912,0.834883153867217,0.718103307943903,0.7065217391304348,0.8702594810379242,0.9014084507042254,0.7933884297520661,0.9054188206715726,"{""01_opishnyan_ceramics"":0.8702594810379242,""02_ornek"":0.9863325740318907,""03_bubnivka_ceramics"":0.9014084507042254,""04_petrykivka_painting"":0.9807692307692307,""05_kosiv_ceramics"":0.9821428571428571}","{""01_opishnyan_ceramics"":0.6607467134252288,""02_ornek"":0.9862068965517241,""03_bubnivka_ceramics"":0.9322344322344321,""04_petrykivka_painting"":0.9910096818810511,""05_kosiv_ceramics"":0.9899165629327454}"
full_development_oof,,motif,motif_texture_dispersion__c1__source0p5,global_cls__c10__source0p5,motif_texture_dispersion__c1__source0p5,texture_dispersion,1.0,0.5,384,4,False,False,accuracy_drop|macro_f1_drop|recall_drop:02_ornek|recall_drop:04_petrykivka_painting|recall_drop:05_kosiv_ceramics,,False,1693,5,92,0.9155345540460721,0.9135250298965125,0.919844972682584,0.8757842079486192,0.6269495979193082,0.7307648964752492,0.8147260088443428,0.7064475329412805,0.7119565217391305,0.8542914171656687,0.8779342723004695,0.7857142857142857,0.880300484494164,"{""01_opishnyan_ceramics"":0.8542914171656687,""02_ornek"":0.9521640091116174,""03_bubnivka_ceramics"":0.8779342723004695,""04_petrykivka_painting"":0.9576923076923077,""05_kosiv_ceramics"":0.9571428571428572}","{""01_opishnyan_ceramics"":0.6269495979193082,""02_ornek"":0.9517241379310345,""03_bubnivka_ceramics"":0.8673992673992673,""04_petrykivka_painting"":0.9700322729368372,""05_kosiv_ceramics"":0.9628157635566488}"
full_development_oof,,motif,motif_texture_dispersion__c10__source0p5,global_cls__c10__source0p5,motif_texture_dispersion__c10__source0p5,texture_dispersion,10.0,0.5,384,4,False,False,accuracy_drop|macro_f1_drop|source_robustness_drop|opishnyan_group_recall_drop|recall_drop:02_ornek,,False,1693,5,141,0.9308919078558772,0.9279834899732032,0.9364304489770661,0.8787206738753179,0.5536479274041074,0.6792970460587526,0.8029624315156267,0.7183950292732675,0.6956521739130435,0.8542914171656687,0.8967136150234741,0.7860082304526749,0.8953071121766153,"{""01_opishnyan_ceramics"":0.8542914171656687,""02_ornek"":0.979498861047836,""03_bubnivka_ceramics"":0.8967136150234741,""04_petrykivka_painting"":0.9730769230769231,""05_kosiv_ceramics"":0.9785714285714285}","{""01_opishnyan_ceramics"":0.5536479274041074,""02_ornek"":0.9793103448275862,""03_bubnivka_ceramics"":0.9007326007326006,""04_petrykivka_painting"":0.9787920700783771,""05_kosiv_ceramics"":0.9811204263339182}"
