image_id,relative_path,proposal_rank,proposal_id,left,top,right,bottom,scale,x_position,y_position,texture_score
img_db1291f981873646,dataset_dev/01_opishnyan_ceramics/o065.jpg,1,s0_y0_x0,0,0,540,540,0.44999998807907104,0.0,0.0,0.1432663083151041
img_db1291f981873646,dataset_dev/01_opishnyan_ceramics/o065.jpg,2,s0_y0_x1,330,0,870,540,0.44999998807907104,0.5,0.0,0.14241858343024374
img_db1291f981873646,dataset_dev/01_opishnyan_ceramics/o065.jpg,3,s1_y0_x1,210,0,990,780,0.6499999761581421,0.5,0.0,0.13244918588529134
img_db1291f981873646,dataset_dev/01_opishnyan_ceramics/o065.jpg,4,s1_y0_x0,0,0,780,780,0.6499999761581421,0.0,0.0,0.1300953347590702
img_db1291f981873646,dataset_dev/01_opishnyan_ceramics/o065.jpg,5,s0_y0_x2,660,0,1200,540,0.44999998807907104,1.0,0.0,0.11715842806585997
img_db1291f981873646,dataset_dev/01_opishnyan_ceramics/o065.jpg,6,s1_y0_x2,420,0,1200,780,0.6499999761581421,1.0,0.0,0.11640232099482137
img_27a4af8334229eeb,dataset_dev/01_opishnyan_ceramics/o066.jpg,1,s0_y2_x0,0,660,540,1200,0.44999998807907104,0.0,1.0,0.12793091912232546
img_27a4af8334229eeb,dataset_dev/01_opishnyan_ceramics/o066.jpg,2,s1_y2_x0,0,420,780,1200,0.6499999761581421,0.0,1.0,0.1246283137587586
img_27a4af8334229eeb,dataset_dev/01_opishnyan_ceramics/o066.jpg,3,s1_y2_x1,410,420,1190,1200,0.6499999761581421,0.5,1.0,0.1221173707150166
img_27a4af8334229eeb,dataset_dev/01_opishnyan_ceramics/o066.jpg,4,s0_y2_x2,1060,660,1600,1200,0.44999998807907104,1.0,1.0,0.12177756809074594
img_27a4af8334229eeb,dataset_dev/01_opishnyan_ceramics/o066.jpg,5,s0_y1_x0,0,330,540,870,0.44999998807907104,0.0,0.5,0.12131511516293114
img_27a4af8334229eeb,dataset_dev/01_opishnyan_ceramics/o066.jpg,6,s1_y2_x2,820,420,1600,1200,0.6499999761581421,1.0,1.0,0.12122033241025895
img_79fd0a23766a0896,dataset_dev/01_opishnyan_ceramics/o067.jpg,1,s0_y2_x2,180,147,301,268,0.44999998807907104,1.0,1.0,0.13237850054949638
img_79fd0a23766a0896,dataset_dev/01_opishnyan_ceramics/o067.jpg,2,s0_y0_x0,0,0,121,121,0.44999998807907104,0.0,0.0,0.13031020564764623
img_79fd0a23766a0896,dataset_dev/01_opishnyan_ceramics/o067.jpg,3,s0_y2_x0,0,147,121,268,0.44999998807907104,0.0,1.0,0.1287253139181708
img_79fd0a23766a0896,dataset_dev/01_opishnyan_ceramics/o067.jpg,4,s0_y1_x0,0,74,121,195,0.44999998807907104,0.0,0.5,0.1279583250935535
img_79fd0a23766a0896,dataset_dev/01_opishnyan_ceramics/o067.jpg,5,s1_y0_x0,0,0,174,174,0.6499999761581421,0.0,0.0,0.12560279203834487
img_79fd0a23766a0896,dataset_dev/01_opishnyan_ceramics/o067.jpg,6,s1_y2_x2,127,94,301,268,0.6499999761581421,1.0,1.0,0.12496074101455688
img_cf3ec0065848b378,dataset_dev/01_opishnyan_ceramics/o070.jpg,1,s0_y1_x1,1126,1126,2969,2969,0.44999998807907104,0.5,0.5,0.17698111348889634
img_cf3ec0065848b378,dataset_dev/01_opishnyan_ceramics/o070.jpg,2,s0_y0_x1,1126,0,2969,1843,0.44999998807907104,0.5,0.0,0.17084726641030368
img_cf3ec0065848b378,dataset_dev/01_opishnyan_ceramics/o070.jpg,3,s1_y1_x1,717,717,3379,3379,0.6499999761581421,0.5,0.5,0.16883473352188966
img_cf3ec0065848b378,dataset_dev/01_opishnyan_ceramics/o070.jpg,4,s1_y0_x1,717,0,3379,2662,0.6499999761581421,0.5,0.0,0.1671244407019076
img_cf3ec0065848b378,dataset_dev/01_opishnyan_ceramics/o070.jpg,5,s1_y1_x2,1434,717,4096,3379,0.6499999761581421,1.0,0.5,0.16617754628643322
img_cf3ec0065848b378,dataset_dev/01_opishnyan_ceramics/o070.jpg,6,s1_y0_x0,0,0,2662,2662,0.6499999761581421,0.0,0.0,0.16430964483160115
img_3f867edb13f6d9e7,dataset_dev/01_opishnyan_ceramics/o072.jpg,1,s0_y0_x1,752,0,1982,1230,0.44999998807907104,0.5,0.0,0.1129295129209073
img_3f867edb13f6d9e7,dataset_dev/01_opishnyan_ceramics/o072.jpg,2,s1_y0_x2,957,0,2733,1776,0.6499999761581421,1.0,0.0,0.10342990206776137
img_3f867edb13f6d9e7,dataset_dev/01_opishnyan_ceramics/o072.jpg,3,s1_y0_x1,478,0,2254,1776,0.6499999761581421,0.5,0.0,0.1010348182831114
