scope,outer_fold,stage,configuration_id,base_configuration_id,motif_configuration_id,motif_descriptor,c_value,source_group_exponent,descriptor_dimensions,complexity_rank,is_exact_reference,eligible,eligibility_failures,eligible_selection_rank,selected,evaluated_examples,fit_count,maximum_iterations,accuracy,macro_f1,balanced_accuracy,source_group_balanced_accuracy,ceramic_worst_group_recall,robustness_score,readiness_score,minimum_fold_readiness_score,hard_three_accuracy,opishnyan_recall,bubnivka_recall,bubnivka_precision,ceramic_macro_f1,per_class_recall_json,per_class_group_recall_json
outer_inner_oof,0,base,global_cls__c10__source0,global_cls__c10__source0,,not_applicable,10.0,0.0,0,6,True,True,,3,False,1193,4,89,0.8885163453478625,0.8746480078605039,0.8836561504943858,0.8744821807803177,0.49337715855573,0.630839036081641,,,,0.6166666666666667,0.8941176470588236,,,"{""01_opishnyan_ceramics"":0.6166666666666667,""02_ornek"":0.9772079772079773,""03_bubnivka_ceramics"":0.8941176470588236,""04_petrykivka_painting"":0.9615384615384616,""05_kosiv_ceramics"":0.96875}","{""01_opishnyan_ceramics"":0.49337715855573,""02_ornek"":0.9769452449567724,""03_bubnivka_ceramics"":0.9491384432560903,""04_petrykivka_painting"":0.9726631393298059,""05_kosiv_ceramics"":0.9802869178031897}"
outer_inner_oof,0,base,global_cls__c10__source0p5,global_cls__c10__source0p5,,not_applicable,10.0,0.5,0,6,False,True,,2,False,1193,4,90,0.8968985750209556,0.8845177361527325,0.8906570961718021,0.8844054444766198,0.5707744636316064,0.6937919365039391,,,,0.6666666666666666,0.8823529411764706,,,"{""01_opishnyan_ceramics"":0.6666666666666666,""02_ornek"":0.9829059829059829,""03_bubnivka_ceramics"":0.8823529411764706,""04_petrykivka_painting"":0.9615384615384616,""05_kosiv_ceramics"":0.9598214285714286}","{""01_opishnyan_ceramics"":0.5707744636316064,""02_ornek"":0.9827089337175793,""03_bubnivka_ceramics"":0.9275698158051099,""04_petrykivka_painting"":0.9726631393298059,""05_kosiv_ceramics"":0.9683108698989981}"
outer_inner_oof,0,base,three_view_cls_logit_ensemble__c100__source0p5,three_view_cls_logit_ensemble__c100__source0p5,,not_applicable,100.0,0.5,0,8,False,True,,1,True,1193,12,116,0.8977367979882649,0.8843022609087914,0.891936334362805,0.8944667447157819,0.6003573494174999,0.7184787643003917,,,,0.6416666666666667,0.888235294117647,,,"{""01_opishnyan_ceramics"":0.6416666666666667,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.888235294117647,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.6003573494174999,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9269162210338681,""04_petrykivka_painting"":0.9779541446208112,""05_kosiv_ceramics"":0.9815152304087478}"
outer_inner_oof,0,motif,fixed_base_plus_three_motif_heads__equal_centered_logits,three_view_cls_logit_ensemble__c100__source0p5,fixed_base_plus_three_motif_heads__equal_centered_logits,uniform_mean+texture_weighted_mean+texture_top2_mean,10.0,0.5,1152,1,False,True,,1,True,1193,48,116,0.9019279128248114,0.8895770839444614,0.8965743434125788,0.9003042374595124,0.6054430375389022,0.7240032126071172,0.756766253349087,0.6241180296875046,0.6032608695652174,0.6541666666666667,0.8941176470588236,0.7203791469194313,0.83020315123474,"{""01_opishnyan_ceramics"":0.6541666666666667,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.8941176470588236,""04_petrykivka_painting"":0.9711538461538461,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.6054430375389022,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9464646464646466,""04_petrykivka_painting"":0.9832451499118164,""05_kosiv_ceramics"":0.980777575284214}"
outer_inner_oof,1,base,global_cls__c10__source0,global_cls__c10__source0,,not_applicable,10.0,0.0,0,6,True,True,,3,False,1449,4,98,0.9123533471359558,0.9093464328123695,0.9285729808879714,0.848784920108382,0.441563107821487,0.5809163095267502,,,,0.8145161290322581,0.9058823529411765,,,"{""01_opishnyan_ceramics"":0.8145161290322581,""02_ornek"":0.9829059829059829,""03_bubnivka_ceramics"":0.9058823529411765,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9732142857142857}","{""01_opishnyan_ceramics"":0.441563107821487,""02_ornek"":0.9827089337175793,""03_bubnivka_ceramics"":0.861904761904762,""04_petrykivka_painting"":0.9879482657260436,""05_kosiv_ceramics"":0.9697995313720386}"
outer_inner_oof,1,base,global_cls__c10__source0p5,global_cls__c10__source0p5,,not_applicable,10.0,0.5,0,6,False,True,,1,True,1449,4,94,0.9089026915113871,0.9055107050155893,0.9200174201194125,0.855782836680284,0.4900332451376008,0.6232085442537443,,,,0.8266129032258065,0.8647058823529412,,,"{""01_opishnyan_ceramics"":0.8266129032258065,""02_ornek"":0.9743589743589743,""03_bubnivka_ceramics"":0.8647058823529412,""04_petrykivka_painting"":0.9567307692307693,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.4900332451376008,""02_ornek"":0.9740634005763689,""03_bubnivka_ceramics"":0.8566666666666666,""04_petrykivka_painting"":0.9823633156966491,""05_kosiv_ceramics"":0.9757875553241343}"
outer_inner_oof,1,base,three_view_cls_logit_ensemble__c100__source0p5,three_view_cls_logit_ensemble__c100__source0p5,,not_applicable,100.0,0.5,0,8,False,True,,2,False,1449,12,121,0.917184265010352,0.912660755753938,0.9273919749868516,0.862689291713721,0.48945283328790584,0.6245581884758001,,,,0.8387096774193549,0.8764705882352941,,,"{""01_opishnyan_ceramics"":0.8387096774193549,""02_ornek"":0.9829059829059829,""03_bubnivka_ceramics"":0.8764705882352941,""04_petrykivka_painting"":0.9567307692307693,""05_kosiv_ceramics"":0.9821428571428571}","{""01_opishnyan_ceramics"":0.48945283328790584,""02_ornek"":0.9827089337175793,""03_bubnivka_ceramics"":0.8821428571428571,""04_petrykivka_painting"":0.977366255144033,""05_kosiv_ceramics"":0.9817755792762302}"
outer_inner_oof,1,motif,fixed_base_plus_three_motif_heads__equal_centered_logits,global_cls__c10__source0p5,fixed_base_plus_three_motif_heads__equal_centered_logits,uniform_mean+texture_weighted_mean+texture_top2_mean,10.0,0.5,1152,1,False,True,,1,True,1449,16,94,0.9247757073844031,0.9211762897582225,0.9335519329043998,0.8800175782100382,0.541052195770889,0.6701084657844698,0.7835704547664273,0.7215002681397783,0.6739130434782609,0.8508064516129032,0.8705882352941177,0.7184466019417476,0.8813565458315248,"{""01_opishnyan_ceramics"":0.8508064516129032,""02_ornek"":0.9886039886039886,""03_bubnivka_ceramics"":0.8705882352941177,""04_petrykivka_painting"":0.9711538461538461,""05_kosiv_ceramics"":0.9866071428571429}","{""01_opishnyan_ceramics"":0.541052195770889,""02_ornek"":0.9884726224783862,""03_bubnivka_ceramics"":0.8838095238095238,""04_petrykivka_painting"":0.9882422104644326,""05_kosiv_ceramics"":0.9985113385269595}"
outer_inner_oof,2,base,global_cls__c10__source0,global_cls__c10__source0,,not_applicable,10.0,0.0,0,6,True,True,,3,False,1423,4,98,0.9149683766690091,0.9127257013101812,0.9302922743019739,0.8635224368491701,0.450726767974629,0.5922966140759944,,,,0.8127659574468085,0.9117647058823529,,,"{""01_opishnyan_ceramics"":0.8127659574468085,""02_ornek"":0.9829059829059829,""03_bubnivka_ceramics"":0.9117647058823529,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.450726767974629,""02_ornek"":0.9827089337175793,""03_bubnivka_ceramics"":0.9304347826086957,""04_petrykivka_painting"":0.9779541446208112,""05_kosiv_ceramics"":0.9757875553241343}"
outer_inner_oof,2,base,global_cls__c10__source0p5,global_cls__c10__source0p5,,not_applicable,10.0,0.5,0,6,False,True,,2,False,1423,4,94,0.9205903021784961,0.91751999843171,0.930692774927756,0.883105689320128,0.567725155933284,0.6911368293762307,,,,0.8382978723404255,0.888235294117647,,,"{""01_opishnyan_ceramics"":0.8382978723404255,""02_ornek"":0.9829059829059829,""03_bubnivka_ceramics"":0.888235294117647,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.567725155933284,""02_ornek"":0.9827089337175793,""03_bubnivka_ceramics"":0.9113526570048309,""04_petrykivka_painting"":0.9779541446208112,""05_kosiv_ceramics"":0.9757875553241343}"
