component_id,review_status,ornament_label,image_count,relative_paths,decision,groups,notes
simcomp_7fdfcf83d1e3fb0d,complete,04_petrykivka_painting,3,dataset_test/04_petrykivka_painting/198.png|dataset_dev/04_petrykivka_painting/208.jpg|dataset_dev/04_petrykivka_painting/194.png,partitioned,"[{""group_id"":""simcomp_7fdfcf83d1e3fb0d_g01"",""relationship"":""same_physical_object"",""image_ids"":[""img_2348efcac740ca91"",""img_841a9b229266a530""]}]",198.png and 208.jpg reproduce the same floral artwork; 194.png is a different composition with purple flowers and no credible shared acquisition.
simcomp_64860b83462509a0,complete,01_opishnyan_ceramics,6,dataset_dev/01_opishnyan_ceramics/o332_2.jpeg|dataset_dev/01_opishnyan_ceramics/o328_2.jpeg|dataset_test/01_opishnyan_ceramics/o330_2.jpeg|dataset_dev/01_opishnyan_ceramics/o333_2.jpeg|dataset_dev/01_opishnyan_ceramics/o331_2.jpeg|dataset_dev/01_opishnyan_ceramics/o329_2.jpeg,same_source_distinct_objects,"[{""group_id"":""simcomp_64860b83462509a0_g01"",""relationship"":""same_source"",""image_ids"":[""img_05f20236656b6a2b"",""img_315438724c75aa3f"",""img_42a15338b3c1eace"",""img_7cd57aa849bbb3da"",""img_97a348c31caf8582"",""img_e2d91c0c40f13953""]}]","Six differently painted lidded jars, photographed against the same gray museum backdrop with the same circular watermark."
simcomp_209e00e3f65083e3,complete,05_kosiv_ceramics,2,dataset_test/05_kosiv_ceramics/k168.jpg|dataset_test/05_kosiv_ceramics/k160.jpg,same_physical_object,"[{""group_id"":""simcomp_209e00e3f65083e3_g01"",""relationship"":""same_physical_object"",""image_ids"":[""img_3c2c657b67cd141e"",""img_9bddb217195e1edd""]}]",The same lidded Kosiv vessel and surrounding display appear in both files; k160 is a tighter crop.
simcomp_b1629171f7420b42,complete,01_opishnyan_ceramics,3,dataset_dev/01_opishnyan_ceramics/o157.jpg|dataset_test/01_opishnyan_ceramics/o156.jpg|dataset_dev/01_opishnyan_ceramics/o155.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_b1629171f7420b42_g01"",""relationship"":""same_source"",""image_ids"":[""img_10e68b42ffd61bab"",""img_d2f520a7e3bac646"",""img_efa59e5c3378c310""]}]","Three different mugs, each file showing two sides, captured in the same studio setup."
simcomp_e0dca448a184060d,complete,01_opishnyan_ceramics,2,dataset_dev/01_opishnyan_ceramics/o367_1.jpg|dataset_dev/01_opishnyan_ceramics/o366_2.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_e0dca448a184060d_g01"",""relationship"":""same_source"",""image_ids"":[""img_83e46fcfccac2ad7"",""img_dff895e8b381565c""]}]",Different blue- and green-flower mugs; identical museum backdrop and watermark support one source.
simcomp_f5dc88c4e242860c,complete,04_petrykivka_painting,2,dataset_dev/04_petrykivka_painting/201.png|dataset_dev/04_petrykivka_painting/207.jpg,same_physical_object,"[{""group_id"":""simcomp_f5dc88c4e242860c_g01"",""relationship"":""same_physical_object"",""image_ids"":[""img_8515d4a87991c252"",""img_d84bd8c5022f368f""]}]",The same Petrykivka fruit-and-flower artwork appears in both files; color rendering and crop differ.
simcomp_fa45b1d49d6822d2,complete,01_opishnyan_ceramics,6,dataset_dev/01_opishnyan_ceramics/o366_1.jpg|dataset_dev/01_opishnyan_ceramics/o368_2.jpg|dataset_dev/01_opishnyan_ceramics/o367_2.jpg|dataset_test/01_opishnyan_ceramics/o365_2.jpg|dataset_test/01_opishnyan_ceramics/o365_1.jpg|dataset_dev/01_opishnyan_ceramics/o368_1.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_fa45b1d49d6822d2_g01"",""relationship"":""same_source"",""image_ids"":[""img_21ca6d7a68406cca"",""img_b900b1b12072cd15"",""img_be90b72e2adebfe6"",""img_c86a1ccd325ec77a"",""img_ce2b553062ec2b5f"",""img_d9911c963744d26e""]}]",Six mug records from the same museum studio/source; o368_1/o368_2 and o365_1/o365_2 are existing opposite-side pairs.
simcomp_b468c0bdf12f26b8,complete,05_kosiv_ceramics,2,dataset_dev/05_kosiv_ceramics/k245.jpg|dataset_dev/05_kosiv_ceramics/k244.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_b468c0bdf12f26b8_g01"",""relationship"":""same_source"",""image_ids"":[""img_02ac6c4e11d08064"",""img_f189802edd349754""]}]",Two differently painted bowls on the same gray textile backdrop; distinct objects from one acquisition series.
simcomp_af32157d6d2d345e,complete,01_opishnyan_ceramics,2,dataset_dev/01_opishnyan_ceramics/o177.jpg|dataset_dev/01_opishnyan_ceramics/o179.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_af32157d6d2d345e_g01"",""relationship"":""same_source"",""image_ids"":[""img_132ac06c4185d62b"",""img_18dff748fa839596""]}]",Two differently painted plates photographed in the same gray museum studio.
simcomp_9391bd1fc517cc38,complete,02_ornek,3,dataset_dev/02_ornek/kt009.jpg|dataset_dev/02_ornek/kt010.jpg|dataset_test/02_ornek/kt008.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_9391bd1fc517cc38_g01"",""relationship"":""same_source"",""image_ids"":[""img_006c937ca5cdaef2"",""img_1c2ee99029f51a78"",""img_7c07286f61d4030b""]}]",Three differently painted Ornek cups on the same tabletop/background in one photo series.
