component_id,review_priority,member_count,pair_count,max_cosine_cls_patch_concat,max_cosine_patch_mean,ornament_labels,production_splits,cv_folds,cross_production_split,cross_cv_fold,touches_current_test,image_ids,relative_paths
simcomp_7fdfcf83d1e3fb0d,critical,3,2,0.982583106,0.991738021,04_petrykivka_painting,test|train,1|2,true,true,true,img_2348efcac740ca91|img_841a9b229266a530|img_891d86a4dd3518cb,dataset_test/04_petrykivka_painting/198.png|dataset_dev/04_petrykivka_painting/208.jpg|dataset_dev/04_petrykivka_painting/194.png
simcomp_64860b83462509a0,critical,6,11,0.974477232,0.989525974,01_opishnyan_ceramics,train|validation,0|2,true,true,false,img_05f20236656b6a2b|img_315438724c75aa3f|img_42a15338b3c1eace|img_7cd57aa849bbb3da|img_97a348c31caf8582|img_e2d91c0c40f13953,dataset_dev/01_opishnyan_ceramics/o332_2.jpeg|dataset_dev/01_opishnyan_ceramics/o328_2.jpeg|dataset_test/01_opishnyan_ceramics/o330_2.jpeg|dataset_dev/01_opishnyan_ceramics/o333_2.jpeg|dataset_dev/01_opishnyan_ceramics/o331_2.jpeg|dataset_dev/01_opishnyan_ceramics/o329_2.jpeg
simcomp_209e00e3f65083e3,critical,2,1,0.968703270,0.984328032,05_kosiv_ceramics,train,1|3,false,true,false,img_3c2c657b67cd141e|img_9bddb217195e1edd,dataset_test/05_kosiv_ceramics/k168.jpg|dataset_test/05_kosiv_ceramics/k160.jpg
simcomp_b1629171f7420b42,critical,3,3,0.967498958,0.978183329,01_opishnyan_ceramics,train,0|2|4,false,true,false,img_10e68b42ffd61bab|img_d2f520a7e3bac646|img_efa59e5c3378c310,dataset_dev/01_opishnyan_ceramics/o157.jpg|dataset_test/01_opishnyan_ceramics/o156.jpg|dataset_dev/01_opishnyan_ceramics/o155.jpg
simcomp_e0dca448a184060d,critical,2,1,0.963437796,0.988259137,01_opishnyan_ceramics,train,4,false,false,false,img_83e46fcfccac2ad7|img_dff895e8b381565c,dataset_dev/01_opishnyan_ceramics/o367_1.jpg|dataset_dev/01_opishnyan_ceramics/o366_2.jpg
simcomp_f5dc88c4e242860c,critical,2,1,0.960768163,0.983482301,04_petrykivka_painting,train,3|4,false,true,false,img_8515d4a87991c252|img_d84bd8c5022f368f,dataset_dev/04_petrykivka_painting/201.png|dataset_dev/04_petrykivka_painting/207.jpg
simcomp_fa45b1d49d6822d2,critical,6,5,0.953097939,0.986964643,01_opishnyan_ceramics,train,4,false,false,false,img_21ca6d7a68406cca|img_b900b1b12072cd15|img_be90b72e2adebfe6|img_c86a1ccd325ec77a|img_ce2b553062ec2b5f|img_d9911c963744d26e,dataset_dev/01_opishnyan_ceramics/o366_1.jpg|dataset_dev/01_opishnyan_ceramics/o368_2.jpg|dataset_dev/01_opishnyan_ceramics/o367_2.jpg|dataset_test/01_opishnyan_ceramics/o365_2.jpg|dataset_test/01_opishnyan_ceramics/o365_1.jpg|dataset_dev/01_opishnyan_ceramics/o368_1.jpg
simcomp_b468c0bdf12f26b8,critical,2,1,0.952983141,0.975432575,05_kosiv_ceramics,train,0|1,false,true,false,img_02ac6c4e11d08064|img_f189802edd349754,dataset_dev/05_kosiv_ceramics/k245.jpg|dataset_dev/05_kosiv_ceramics/k244.jpg
simcomp_af32157d6d2d345e,critical,2,1,0.952036619,0.976350129,01_opishnyan_ceramics,train|validation,1|4,true,true,false,img_132ac06c4185d62b|img_18dff748fa839596,dataset_dev/01_opishnyan_ceramics/o177.jpg|dataset_dev/01_opishnyan_ceramics/o179.jpg
simcomp_9391bd1fc517cc38,critical,3,2,0.950878024,0.981399059,02_ornek,train,0|3|4,false,true,false,img_006c937ca5cdaef2|img_1c2ee99029f51a78|img_7c07286f61d4030b,dataset_dev/02_ornek/kt009.jpg|dataset_dev/02_ornek/kt010.jpg|dataset_test/02_ornek/kt008.jpg
