component_id,image_id,relative_path,ornament_label,production_split,cv_fold,old_split,candidate_object_group_id,confirmed_object_group_id,confirmed_source_group_id
simcomp_7fdfcf83d1e3fb0d,img_2348efcac740ca91,dataset_test/04_petrykivka_painting/198.png,04_petrykivka_painting,test,,dataset_test,candidate_463fa44719f9fd1b,obj_single_2348efcac740ca91,
simcomp_7fdfcf83d1e3fb0d,img_841a9b229266a530,dataset_dev/04_petrykivka_painting/208.jpg,04_petrykivka_painting,train,2,dataset_dev,candidate_a0cf0b24630168b7,obj_single_841a9b229266a530,
simcomp_7fdfcf83d1e3fb0d,img_891d86a4dd3518cb,dataset_dev/04_petrykivka_painting/194.png,04_petrykivka_painting,train,1,dataset_dev,candidate_27155248f343ecac,obj_single_891d86a4dd3518cb,
simcomp_64860b83462509a0,img_05f20236656b6a2b,dataset_dev/01_opishnyan_ceramics/o332_2.jpeg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_368537d892e43c95,obj_manual_043,src_manual_043
simcomp_64860b83462509a0,img_315438724c75aa3f,dataset_dev/01_opishnyan_ceramics/o328_2.jpeg,01_opishnyan_ceramics,train,0,dataset_dev,candidate_ecb072692741f0cc,obj_manual_137,src_manual_137
simcomp_64860b83462509a0,img_42a15338b3c1eace,dataset_test/01_opishnyan_ceramics/o330_2.jpeg,01_opishnyan_ceramics,train,2,dataset_test,candidate_32d791f8ac405a24,obj_manual_041,src_manual_041
simcomp_64860b83462509a0,img_7cd57aa849bbb3da,dataset_dev/01_opishnyan_ceramics/o333_2.jpeg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_afc0791456e1d38a,obj_manual_102_b,src_manual_102
simcomp_64860b83462509a0,img_97a348c31caf8582,dataset_dev/01_opishnyan_ceramics/o331_2.jpeg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_09d651f003bb3fcb,obj_manual_021,src_manual_021
simcomp_64860b83462509a0,img_e2d91c0c40f13953,dataset_dev/01_opishnyan_ceramics/o329_2.jpeg,01_opishnyan_ceramics,validation,2,dataset_dev,candidate_d81b58aebb19c3c1,obj_manual_122,src_manual_122
simcomp_209e00e3f65083e3,img_3c2c657b67cd141e,dataset_test/05_kosiv_ceramics/k168.jpg,05_kosiv_ceramics,train,3,dataset_test,candidate_b14181c3143ed995,obj_single_3c2c657b67cd141e,
simcomp_209e00e3f65083e3,img_9bddb217195e1edd,dataset_test/05_kosiv_ceramics/k160.jpg,05_kosiv_ceramics,train,1,dataset_test,candidate_71a8f4d57311e02d,obj_single_9bddb217195e1edd,
simcomp_b1629171f7420b42,img_10e68b42ffd61bab,dataset_dev/01_opishnyan_ceramics/o157.jpg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_b9093e59d59eea20,obj_single_10e68b42ffd61bab,
simcomp_b1629171f7420b42,img_d2f520a7e3bac646,dataset_test/01_opishnyan_ceramics/o156.jpg,01_opishnyan_ceramics,train,4,dataset_test,candidate_f25a323ab5edcc0b,obj_single_d2f520a7e3bac646,
simcomp_b1629171f7420b42,img_efa59e5c3378c310,dataset_dev/01_opishnyan_ceramics/o155.jpg,01_opishnyan_ceramics,train,0,dataset_dev,candidate_e563a97590c1f266,obj_single_efa59e5c3378c310,
simcomp_e0dca448a184060d,img_83e46fcfccac2ad7,dataset_dev/01_opishnyan_ceramics/o367_1.jpg,01_opishnyan_ceramics,train,4,dataset_dev,candidate_ada644db4dceed48,obj_manual_011_a,src_manual_011
simcomp_e0dca448a184060d,img_dff895e8b381565c,dataset_dev/01_opishnyan_ceramics/o366_2.jpg,01_opishnyan_ceramics,train,4,dataset_dev,candidate_7913d1d0d4c6c1be,obj_manual_009_b,src_manual_009
simcomp_f5dc88c4e242860c,img_8515d4a87991c252,dataset_dev/04_petrykivka_painting/201.png,04_petrykivka_painting,train,4,dataset_dev,candidate_c6f4e3bea0fd6bfe,obj_single_8515d4a87991c252,
simcomp_f5dc88c4e242860c,img_d84bd8c5022f368f,dataset_dev/04_petrykivka_painting/207.jpg,04_petrykivka_painting,train,3,dataset_dev,candidate_4cb440e772235bbb,obj_single_d84bd8c5022f368f,
simcomp_fa45b1d49d6822d2,img_21ca6d7a68406cca,dataset_dev/01_opishnyan_ceramics/o366_1.jpg,01_opishnyan_ceramics,train,4,dataset_dev,candidate_7913d1d0d4c6c1be,obj_manual_009_b,src_manual_009
simcomp_fa45b1d49d6822d2,img_b900b1b12072cd15,dataset_dev/01_opishnyan_ceramics/o368_2.jpg,01_opishnyan_ceramics,train,4,dataset_dev,candidate_ada644db4dceed48,obj_manual_011_b,src_manual_011
simcomp_fa45b1d49d6822d2,img_be90b72e2adebfe6,dataset_dev/01_opishnyan_ceramics/o367_2.jpg,01_opishnyan_ceramics,train,4,dataset_dev,candidate_ada644db4dceed48,obj_manual_011_a,src_manual_011
simcomp_fa45b1d49d6822d2,img_c86a1ccd325ec77a,dataset_test/01_opishnyan_ceramics/o365_2.jpg,01_opishnyan_ceramics,train,4,dataset_test,candidate_ada644db4dceed48,obj_manual_011_c,src_manual_011
simcomp_fa45b1d49d6822d2,img_ce2b553062ec2b5f,dataset_test/01_opishnyan_ceramics/o365_1.jpg,01_opishnyan_ceramics,train,4,dataset_test,candidate_ada644db4dceed48,obj_manual_011_c,src_manual_011
simcomp_fa45b1d49d6822d2,img_d9911c963744d26e,dataset_dev/01_opishnyan_ceramics/o368_1.jpg,01_opishnyan_ceramics,train,4,dataset_dev,candidate_ada644db4dceed48,obj_manual_011_b,src_manual_011
simcomp_b468c0bdf12f26b8,img_02ac6c4e11d08064,dataset_dev/05_kosiv_ceramics/k245.jpg,05_kosiv_ceramics,train,0,dataset_dev,candidate_220f54b3188fd02f,obj_single_02ac6c4e11d08064,
simcomp_b468c0bdf12f26b8,img_f189802edd349754,dataset_dev/05_kosiv_ceramics/k244.jpg,05_kosiv_ceramics,train,1,dataset_dev,candidate_65b36451c781a6bf,obj_single_f189802edd349754,
simcomp_af32157d6d2d345e,img_132ac06c4185d62b,dataset_dev/01_opishnyan_ceramics/o177.jpg,01_opishnyan_ceramics,train,4,dataset_dev,candidate_13c3520ab169f634,obj_manual_030_a,
simcomp_af32157d6d2d345e,img_18dff748fa839596,dataset_dev/01_opishnyan_ceramics/o179.jpg,01_opishnyan_ceramics,validation,1,dataset_dev,candidate_13c3520ab169f634,obj_manual_030_b,
simcomp_9391bd1fc517cc38,img_006c937ca5cdaef2,dataset_dev/02_ornek/kt009.jpg,02_ornek,train,4,dataset_dev,candidate_a4efaf645d3c28d1,obj_single_006c937ca5cdaef2,
simcomp_9391bd1fc517cc38,img_1c2ee99029f51a78,dataset_dev/02_ornek/kt010.jpg,02_ornek,train,3,dataset_dev,candidate_bd2b812a072fbc86,obj_single_1c2ee99029f51a78,
simcomp_9391bd1fc517cc38,img_7c07286f61d4030b,dataset_test/02_ornek/kt008.jpg,02_ornek,train,0,dataset_test,candidate_706dd5ef4bdbdcc1,obj_single_7c07286f61d4030b,
simcomp_768d54a7a1a17eb1,img_166c65513bea513d,dataset_test/01_opishnyan_ceramics/o379_1.jpg,01_opishnyan_ceramics,validation,0,dataset_test,candidate_4ee4d6a4946a3921,obj_manual_053,src_manual_053
simcomp_768d54a7a1a17eb1,img_16cd80834f899481,dataset_dev/01_opishnyan_ceramics/o377_1.jpg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_9a2ce8d881f126ed,obj_manual_094_c,
simcomp_768d54a7a1a17eb1,img_75f90ed598c0000c,dataset_dev/01_opishnyan_ceramics/o378_1.jpg,01_opishnyan_ceramics,train,1,dataset_dev,candidate_ceae1279243fd46c,obj_manual_118,src_manual_118
simcomp_d68678c7e3403ee6,img_5e5f15214adb0fa2,dataset_test/01_opishnyan_ceramics/o371_1.jpg,01_opishnyan_ceramics,train,0,dataset_test,candidate_cfd6dc08468aa01c,obj_manual_119,src_manual_119
simcomp_d68678c7e3403ee6,img_c91f0cc2cfb74ca9,dataset_dev/01_opishnyan_ceramics/o372_1.jpg,01_opishnyan_ceramics,test,,dataset_dev,candidate_ecf809841113b2ee,obj_manual_138_b,src_manual_138
simcomp_d68678c7e3403ee6,img_f8226a72a14f37e4,dataset_dev/01_opishnyan_ceramics/o370_1.jpg,01_opishnyan_ceramics,test,,dataset_dev,candidate_ecf809841113b2ee,obj_manual_138_a,src_manual_138
simcomp_f8e69f6767930319,img_132232fc5279c9dc,dataset_test/01_opishnyan_ceramics/o283.jpeg,01_opishnyan_ceramics,train,2,dataset_test,candidate_53bb7055d9f5163a,obj_single_132232fc5279c9dc,
simcomp_f8e69f6767930319,img_4b15a6fe65b93e55,dataset_test/01_opishnyan_ceramics/o284.jpeg,01_opishnyan_ceramics,train,1,dataset_test,candidate_1f84534e3461322d,obj_manual_004_b,
