rank,component_id,review_priority,priority_score,image_id_a,relative_path_a,ornament_label_a,production_split_a,cv_fold_a,old_split_a,candidate_object_group_id_a,confirmed_object_group_id_a,confirmed_source_group_id_a,image_id_b,relative_path_b,ornament_label_b,production_split_b,cv_fold_b,old_split_b,candidate_object_group_id_b,confirmed_object_group_id_b,confirmed_source_group_id_b,cosine_cls_patch_concat,cosine_patch_mean,trigger_concat,trigger_patch_mean,same_label,same_candidate_group,same_content_sha256,cross_production_split,cross_cv_fold,touches_current_test,current_evaluation_boundary
1,simcomp_7fdfcf83d1e3fb0d,critical,1.056540974,img_2348efcac740ca91,dataset_test/04_petrykivka_painting/198.png,04_petrykivka_painting,test,,dataset_test,candidate_463fa44719f9fd1b,obj_single_2348efcac740ca91,,img_841a9b229266a530,dataset_dev/04_petrykivka_painting/208.jpg,04_petrykivka_painting,train,2,dataset_dev,candidate_a0cf0b24630168b7,obj_single_841a9b229266a530,,0.982583106,0.991738021,true,true,true,false,false,true,false,true,test_vs_development
2,simcomp_64860b83462509a0,critical,1.047824980,img_05f20236656b6a2b,dataset_dev/01_opishnyan_ceramics/o332_2.jpeg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_368537d892e43c95,obj_manual_043,src_manual_043,img_42a15338b3c1eace,dataset_test/01_opishnyan_ceramics/o330_2.jpeg,01_opishnyan_ceramics,train,2,dataset_test,candidate_32d791f8ac405a24,obj_manual_041,src_manual_041,0.974477232,0.989525974,true,true,true,false,false,false,false,false,
3,simcomp_64860b83462509a0,critical,1.041627187,img_05f20236656b6a2b,dataset_dev/01_opishnyan_ceramics/o332_2.jpeg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_368537d892e43c95,obj_manual_043,src_manual_043,img_7cd57aa849bbb3da,dataset_dev/01_opishnyan_ceramics/o333_2.jpeg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_afc0791456e1d38a,obj_manual_102_b,src_manual_102,0.968713284,0.987260282,true,true,true,false,false,false,false,false,
4,simcomp_209e00e3f65083e3,critical,1.041616419,img_3c2c657b67cd141e,dataset_test/05_kosiv_ceramics/k168.jpg,05_kosiv_ceramics,train,3,dataset_test,candidate_b14181c3143ed995,obj_single_3c2c657b67cd141e,,img_9bddb217195e1edd,dataset_test/05_kosiv_ceramics/k160.jpg,05_kosiv_ceramics,train,1,dataset_test,candidate_71a8f4d57311e02d,obj_single_9bddb217195e1edd,,0.968703270,0.984328032,true,true,true,false,false,false,true,false,
5,simcomp_64860b83462509a0,critical,1.041605203,img_42a15338b3c1eace,dataset_test/01_opishnyan_ceramics/o330_2.jpeg,01_opishnyan_ceramics,train,2,dataset_test,candidate_32d791f8ac405a24,obj_manual_041,src_manual_041,img_7cd57aa849bbb3da,dataset_dev/01_opishnyan_ceramics/o333_2.jpeg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_afc0791456e1d38a,obj_manual_102_b,src_manual_102,0.968692839,0.987547755,true,true,true,false,false,false,false,false,
6,simcomp_b1629171f7420b42,critical,1.040321460,img_d2f520a7e3bac646,dataset_test/01_opishnyan_ceramics/o156.jpg,01_opishnyan_ceramics,train,4,dataset_test,candidate_f25a323ab5edcc0b,obj_single_d2f520a7e3bac646,,img_efa59e5c3378c310,dataset_dev/01_opishnyan_ceramics/o155.jpg,01_opishnyan_ceramics,train,0,dataset_dev,candidate_e563a97590c1f266,obj_single_efa59e5c3378c310,,0.967498958,0.978183329,true,false,true,false,false,false,true,false,
7,simcomp_e0dca448a184060d,critical,1.035954619,img_83e46fcfccac2ad7,dataset_dev/01_opishnyan_ceramics/o367_1.jpg,01_opishnyan_ceramics,train,4,dataset_dev,candidate_ada644db4dceed48,obj_manual_011_a,src_manual_011,img_dff895e8b381565c,dataset_dev/01_opishnyan_ceramics/o366_2.jpg,01_opishnyan_ceramics,train,4,dataset_dev,candidate_7913d1d0d4c6c1be,obj_manual_009_b,src_manual_009,0.963437796,0.988259137,true,true,true,false,false,false,false,false,
8,simcomp_64860b83462509a0,critical,1.034574483,img_05f20236656b6a2b,dataset_dev/01_opishnyan_ceramics/o332_2.jpeg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_368537d892e43c95,obj_manual_043,src_manual_043,img_97a348c31caf8582,dataset_dev/01_opishnyan_ceramics/o331_2.jpeg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_09d651f003bb3fcb,obj_manual_021,src_manual_021,0.962154269,0.983634293,true,true,true,false,false,false,false,false,
9,simcomp_64860b83462509a0,critical,1.034439379,img_7cd57aa849bbb3da,dataset_dev/01_opishnyan_ceramics/o333_2.jpeg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_afc0791456e1d38a,obj_manual_102_b,src_manual_102,img_e2d91c0c40f13953,dataset_dev/01_opishnyan_ceramics/o329_2.jpeg,01_opishnyan_ceramics,validation,2,dataset_dev,candidate_d81b58aebb19c3c1,obj_manual_122,src_manual_122,0.962028623,0.982117712,true,true,true,false,false,true,false,false,train_vs_validation
10,simcomp_64860b83462509a0,critical,1.033597351,img_97a348c31caf8582,dataset_dev/01_opishnyan_ceramics/o331_2.jpeg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_09d651f003bb3fcb,obj_manual_021,src_manual_021,img_e2d91c0c40f13953,dataset_dev/01_opishnyan_ceramics/o329_2.jpeg,01_opishnyan_ceramics,validation,2,dataset_dev,candidate_d81b58aebb19c3c1,obj_manual_122,src_manual_122,0.961245537,0.984810889,true,true,true,false,false,true,false,false,train_vs_validation
